,MVT_GT_Albuquerque-Santa Fe NM
2015-02-01 00:00:00,32
2015-03-01 00:00:00,40
2015-04-01 00:00:00,56
2015-07-01 00:00:00,34
2015-08-01 00:00:00,36
2015-10-01 00:00:00,46
2015-11-01 00:00:00,26
2015-12-01 00:00:00,77
2016-01-01 00:00:00,56
2016-02-01 00:00:00,34
2016-04-01 00:00:00,19
2016-06-01 00:00:00,20
2016-07-01 00:00:00,42
2016-08-01 00:00:00,49
2016-10-01 00:00:00,25
2016-11-01 00:00:00,80
2016-12-01 00:00:00,36
2017-01-01 00:00:00,27
2017-02-01 00:00:00,52
2017-03-01 00:00:00,16
2017-06-01 00:00:00,51
2017-07-01 00:00:00,69
2017-08-01 00:00:00,52
2017-09-01 00:00:00,52
2017-10-01 00:00:00,38
2018-01-01 00:00:00,35
2018-02-01 00:00:00,52
2018-03-01 00:00:00,52
2018-04-01 00:00:00,72
2018-05-01 00:00:00,100
2018-06-01 00:00:00,41
2018-07-01 00:00:00,42
2018-08-01 00:00:00,14
2018-10-01 00:00:00,48
2018-11-01 00:00:00,29
2018-12-01 00:00:00,30
2019-01-01 00:00:00,49
2019-02-01 00:00:00,19
2019-03-01 00:00:00,18
2019-04-01 00:00:00,26
2019-05-01 00:00:00,21
2019-07-01 00:00:00,30
2019-08-01 00:00:00,36
2019-09-01 00:00:00,38
2019-10-01 00:00:00,23
2019-11-01 00:00:00,46
2019-12-01 00:00:00,55
2020-01-01 00:00:00,52
2020-02-01 00:00:00,32
2020-03-01 00:00:00,16
2020-05-01 00:00:00,12
2020-06-01 00:00:00,51
2020-08-01 00:00:00,20
2020-09-01 00:00:00,16
2020-10-01 00:00:00,28
2020-11-01 00:00:00,26
2021-01-01 00:00:00,26
2021-02-01 00:00:00,64
2021-03-01 00:00:00,36
2021-04-01 00:00:00,29
2021-05-01 00:00:00,23
2021-06-01 00:00:00,61
2021-07-01 00:00:00,32
2021-08-01 00:00:00,17
2021-09-01 00:00:00,21
2021-10-01 00:00:00,26
2021-11-01 00:00:00,24
2021-12-01 00:00:00,26
2022-01-01 00:00:00,43
2022-02-01 00:00:00,74
2022-03-01 00:00:00,36
2022-04-01 00:00:00,67
2022-05-01 00:00:00,46
2022-06-01 00:00:00,33
2022-07-01 00:00:00,42
2022-08-01 00:00:00,41
2022-09-01 00:00:00,42
2022-10-01 00:00:00,29
2022-11-01 00:00:00,20
2022-12-01 00:00:00,21
