,MVT_GT_Austin TX
2015-01-01 00:00:00,46
2015-02-01 00:00:00,59
2015-03-01 00:00:00,23
2015-04-01 00:00:00,39
2015-05-01 00:00:00,63
2015-06-01 00:00:00,89
2015-09-01 00:00:00,33
2015-10-01 00:00:00,56
2015-12-01 00:00:00,53
2016-01-01 00:00:00,91
2016-03-01 00:00:00,61
2016-04-01 00:00:00,34
2016-05-01 00:00:00,32
2016-06-01 00:00:00,17
2016-07-01 00:00:00,17
2016-08-01 00:00:00,14
2016-09-01 00:00:00,48
2016-10-01 00:00:00,15
2017-01-01 00:00:00,24
2017-02-01 00:00:00,62
2017-03-01 00:00:00,59
2017-05-01 00:00:00,62
2017-06-01 00:00:00,54
2017-08-01 00:00:00,28
2017-09-01 00:00:00,14
2017-10-01 00:00:00,42
2017-11-01 00:00:00,43
2018-01-01 00:00:00,25
2018-02-01 00:00:00,60
2018-04-01 00:00:00,31
2018-05-01 00:00:00,33
2018-06-01 00:00:00,55
2018-07-01 00:00:00,51
2018-08-01 00:00:00,54
2018-09-01 00:00:00,14
2018-10-01 00:00:00,44
2018-11-01 00:00:00,60
2018-12-01 00:00:00,25
2019-02-01 00:00:00,53
2019-04-01 00:00:00,56
2019-05-01 00:00:00,56
2019-06-01 00:00:00,31
2019-07-01 00:00:00,48
2019-08-01 00:00:00,70
2019-10-01 00:00:00,43
2019-11-01 00:00:00,41
2019-12-01 00:00:00,67
2020-01-01 00:00:00,59
2020-02-01 00:00:00,48
2020-05-01 00:00:00,44
2020-06-01 00:00:00,51
2020-07-01 00:00:00,25
2020-08-01 00:00:00,60
2020-09-01 00:00:00,22
2020-10-01 00:00:00,76
2020-11-01 00:00:00,46
2020-12-01 00:00:00,84
2021-01-01 00:00:00,21
2021-02-01 00:00:00,21
2021-03-01 00:00:00,55
2021-04-01 00:00:00,57
2021-05-01 00:00:00,54
2021-06-01 00:00:00,56
2021-07-01 00:00:00,63
2021-09-01 00:00:00,21
2021-10-01 00:00:00,35
2021-11-01 00:00:00,66
2021-12-01 00:00:00,59
2022-02-01 00:00:00,64
2022-03-01 00:00:00,69
2022-04-01 00:00:00,33
2022-05-01 00:00:00,47
2022-06-01 00:00:00,69
2022-07-01 00:00:00,72
2022-08-01 00:00:00,84
2022-09-01 00:00:00,51
2022-10-01 00:00:00,100
2022-11-01 00:00:00,44
2022-12-01 00:00:00,68
