,MVT_GT_Bakersfield CA
2015-05-01 00:00:00,100
2015-06-01 00:00:00,43
2015-09-01 00:00:00,47
2016-01-01 00:00:00,54
2016-05-01 00:00:00,26
2016-07-01 00:00:00,33
2016-09-01 00:00:00,25
2016-12-01 00:00:00,35
2017-02-01 00:00:00,65
2017-06-01 00:00:00,32
2017-07-01 00:00:00,28
2017-08-01 00:00:00,38
2017-09-01 00:00:00,31
2017-11-01 00:00:00,39
2017-12-01 00:00:00,33
2018-03-01 00:00:00,29
2018-06-01 00:00:00,78
2018-07-01 00:00:00,22
2018-10-01 00:00:00,93
2019-02-01 00:00:00,23
2019-03-01 00:00:00,30
2019-06-01 00:00:00,23
2019-07-01 00:00:00,19
2019-08-01 00:00:00,18
2019-10-01 00:00:00,32
2019-12-01 00:00:00,18
2020-01-01 00:00:00,39
2020-02-01 00:00:00,24
2020-04-01 00:00:00,25
2020-05-01 00:00:00,21
2020-07-01 00:00:00,17
2020-11-01 00:00:00,35
2020-12-01 00:00:00,23
2021-02-01 00:00:00,24
2021-03-01 00:00:00,19
2021-04-01 00:00:00,37
2021-05-01 00:00:00,17
2021-06-01 00:00:00,48
2021-07-01 00:00:00,41
2021-08-01 00:00:00,60
2021-11-01 00:00:00,39
2022-02-01 00:00:00,43
2022-04-01 00:00:00,13
2022-05-01 00:00:00,24
2022-06-01 00:00:00,40
2022-08-01 00:00:00,32
2022-11-01 00:00:00,23
2022-12-01 00:00:00,29
