,MVT_GT_Baltimore MD
2015-01-01 00:00:00,71
2015-02-01 00:00:00,64
2015-04-01 00:00:00,27
2015-05-01 00:00:00,18
2015-06-01 00:00:00,100
2015-07-01 00:00:00,34
2015-10-01 00:00:00,50
2015-11-01 00:00:00,43
2016-01-01 00:00:00,16
2016-02-01 00:00:00,38
2016-03-01 00:00:00,74
2016-04-01 00:00:00,24
2016-05-01 00:00:00,76
2016-06-01 00:00:00,32
2016-07-01 00:00:00,29
2016-08-01 00:00:00,29
2016-09-01 00:00:00,58
2016-10-01 00:00:00,26
2016-11-01 00:00:00,44
2016-12-01 00:00:00,28
2017-01-01 00:00:00,16
2017-02-01 00:00:00,27
2017-03-01 00:00:00,77
2017-04-01 00:00:00,23
2017-05-01 00:00:00,30
2017-06-01 00:00:00,37
2017-07-01 00:00:00,12
2017-09-01 00:00:00,26
2017-10-01 00:00:00,27
2017-12-01 00:00:00,27
2018-01-01 00:00:00,57
2018-02-01 00:00:00,20
2018-03-01 00:00:00,46
2018-04-01 00:00:00,17
2018-05-01 00:00:00,28
2018-06-01 00:00:00,36
2018-07-01 00:00:00,24
2018-08-01 00:00:00,21
2018-09-01 00:00:00,13
2018-10-01 00:00:00,55
2018-11-01 00:00:00,24
2018-12-01 00:00:00,65
2019-01-01 00:00:00,45
2019-03-01 00:00:00,18
2019-04-01 00:00:00,49
2019-05-01 00:00:00,34
2019-06-01 00:00:00,56
2019-09-01 00:00:00,51
2019-11-01 00:00:00,54
2019-12-01 00:00:00,41
2020-01-01 00:00:00,55
2020-02-01 00:00:00,52
2020-03-01 00:00:00,18
2020-04-01 00:00:00,23
2020-05-01 00:00:00,43
2020-06-01 00:00:00,29
2020-08-01 00:00:00,15
2020-09-01 00:00:00,20
2020-10-01 00:00:00,17
2020-11-01 00:00:00,30
2020-12-01 00:00:00,18
2021-01-01 00:00:00,28
2021-02-01 00:00:00,12
2021-03-01 00:00:00,15
2021-04-01 00:00:00,46
2021-05-01 00:00:00,31
2021-06-01 00:00:00,41
2021-07-01 00:00:00,30
2021-08-01 00:00:00,41
2021-09-01 00:00:00,45
2021-10-01 00:00:00,40
2021-11-01 00:00:00,30
2021-12-01 00:00:00,19
2022-01-01 00:00:00,40
2022-02-01 00:00:00,60
2022-03-01 00:00:00,28
2022-04-01 00:00:00,23
2022-05-01 00:00:00,46
2022-06-01 00:00:00,34
2022-07-01 00:00:00,34
2022-08-01 00:00:00,52
2022-09-01 00:00:00,21
2022-10-01 00:00:00,30
2022-11-01 00:00:00,39
2022-12-01 00:00:00,81
