,MVT_GT_Colorado Springs-Pueblo CO
2015-03-01 00:00:00,89
2015-04-01 00:00:00,34
2015-07-01 00:00:00,25
2016-01-01 00:00:00,65
2016-02-01 00:00:00,21
2016-06-01 00:00:00,54
2016-07-01 00:00:00,24
2016-08-01 00:00:00,33
2016-10-01 00:00:00,30
2016-11-01 00:00:00,28
2017-02-01 00:00:00,44
2017-05-01 00:00:00,17
2017-08-01 00:00:00,18
2018-01-01 00:00:00,18
2018-02-01 00:00:00,53
2018-03-01 00:00:00,31
2018-04-01 00:00:00,47
2018-06-01 00:00:00,44
2018-07-01 00:00:00,20
2018-08-01 00:00:00,32
2018-10-01 00:00:00,20
2018-11-01 00:00:00,26
2018-12-01 00:00:00,32
2019-01-01 00:00:00,25
2019-02-01 00:00:00,25
2019-04-01 00:00:00,30
2019-06-01 00:00:00,28
2019-08-01 00:00:00,40
2019-12-01 00:00:00,13
2020-01-01 00:00:00,39
2020-05-01 00:00:00,13
2020-06-01 00:00:00,35
2020-07-01 00:00:00,43
2020-08-01 00:00:00,27
2020-09-01 00:00:00,15
2020-11-01 00:00:00,43
2021-01-01 00:00:00,13
2021-02-01 00:00:00,41
2021-03-01 00:00:00,21
2021-04-01 00:00:00,100
2021-07-01 00:00:00,32
2021-09-01 00:00:00,31
2021-10-01 00:00:00,16
2021-12-01 00:00:00,22
2022-02-01 00:00:00,58
2022-03-01 00:00:00,43
2022-04-01 00:00:00,10
2022-05-01 00:00:00,22
2022-06-01 00:00:00,31
2022-07-01 00:00:00,42
2022-08-01 00:00:00,14
2022-09-01 00:00:00,22
2022-12-01 00:00:00,30
