,MVT_GT_Columbus OH
2015-01-01 00:00:00,17
2015-02-01 00:00:00,48
2015-05-01 00:00:00,32
2015-06-01 00:00:00,25
2015-08-01 00:00:00,49
2015-09-01 00:00:00,48
2015-10-01 00:00:00,20
2015-11-01 00:00:00,45
2016-01-01 00:00:00,27
2016-02-01 00:00:00,27
2016-05-01 00:00:00,50
2016-06-01 00:00:00,34
2016-07-01 00:00:00,31
2016-09-01 00:00:00,31
2016-10-01 00:00:00,18
2016-11-01 00:00:00,12
2016-12-01 00:00:00,43
2017-01-01 00:00:00,47
2017-02-01 00:00:00,22
2017-03-01 00:00:00,22
2017-04-01 00:00:00,48
2017-05-01 00:00:00,29
2017-06-01 00:00:00,54
2017-10-01 00:00:00,33
2017-11-01 00:00:00,36
2017-12-01 00:00:00,25
2018-01-01 00:00:00,24
2018-06-01 00:00:00,21
2018-07-01 00:00:00,40
2018-08-01 00:00:00,36
2018-09-01 00:00:00,17
2018-10-01 00:00:00,16
2018-11-01 00:00:00,47
2018-12-01 00:00:00,21
2019-01-01 00:00:00,35
2019-02-01 00:00:00,21
2019-03-01 00:00:00,19
2019-04-01 00:00:00,52
2019-05-01 00:00:00,45
2019-06-01 00:00:00,27
2019-07-01 00:00:00,62
2019-08-01 00:00:00,59
2019-09-01 00:00:00,30
2019-10-01 00:00:00,28
2019-12-01 00:00:00,18
2020-01-01 00:00:00,30
2020-02-01 00:00:00,41
2020-03-01 00:00:00,11
2020-04-01 00:00:00,12
2020-06-01 00:00:00,27
2020-07-01 00:00:00,15
2020-09-01 00:00:00,26
2020-10-01 00:00:00,21
2020-11-01 00:00:00,34
2020-12-01 00:00:00,40
2021-01-01 00:00:00,39
2021-02-01 00:00:00,41
2021-03-01 00:00:00,26
2021-04-01 00:00:00,18
2021-05-01 00:00:00,23
2021-06-01 00:00:00,17
2021-07-01 00:00:00,97
2021-08-01 00:00:00,48
2021-09-01 00:00:00,23
2021-10-01 00:00:00,16
2021-12-01 00:00:00,48
2022-01-01 00:00:00,88
2022-02-01 00:00:00,77
2022-03-01 00:00:00,70
2022-04-01 00:00:00,52
2022-05-01 00:00:00,70
2022-06-01 00:00:00,62
2022-07-01 00:00:00,96
2022-08-01 00:00:00,72
2022-09-01 00:00:00,60
2022-10-01 00:00:00,59
2022-11-01 00:00:00,82
2022-12-01 00:00:00,100
