,MVT_GT_El Paso TX
2015-08-01 00:00:00,81
2015-09-01 00:00:00,56
2015-10-01 00:00:00,100
2015-11-01 00:00:00,60
2016-06-01 00:00:00,51
2016-12-01 00:00:00,30
2017-01-01 00:00:00,24
2017-04-01 00:00:00,49
2017-05-01 00:00:00,40
2017-06-01 00:00:00,41
2017-07-01 00:00:00,92
2017-12-01 00:00:00,41
2018-01-01 00:00:00,39
2018-03-01 00:00:00,35
2018-04-01 00:00:00,23
2018-05-01 00:00:00,22
2018-09-01 00:00:00,31
2019-02-01 00:00:00,94
2019-04-01 00:00:00,54
2019-06-01 00:00:00,38
2019-07-01 00:00:00,77
2019-09-01 00:00:00,35
2019-11-01 00:00:00,28
2020-05-01 00:00:00,44
2020-09-01 00:00:00,20
2020-10-01 00:00:00,29
2020-12-01 00:00:00,73
2021-01-01 00:00:00,28
2021-02-01 00:00:00,25
2021-05-01 00:00:00,29
2021-07-01 00:00:00,70
2021-08-01 00:00:00,66
2021-09-01 00:00:00,30
2021-12-01 00:00:00,33
2022-01-01 00:00:00,20
2022-04-01 00:00:00,64
2022-05-01 00:00:00,32
2022-07-01 00:00:00,25
2022-08-01 00:00:00,26
2022-09-01 00:00:00,38
2022-10-01 00:00:00,35
2022-12-01 00:00:00,85
