,MVT_GT_Fresno-Visalia CA
2015-02-01 00:00:00,43
2015-03-01 00:00:00,33
2015-05-01 00:00:00,14
2015-06-01 00:00:00,19
2015-07-01 00:00:00,83
2015-08-01 00:00:00,100
2015-09-01 00:00:00,31
2015-12-01 00:00:00,80
2016-02-01 00:00:00,30
2016-05-01 00:00:00,44
2016-06-01 00:00:00,41
2016-07-01 00:00:00,51
2016-08-01 00:00:00,44
2016-09-01 00:00:00,61
2016-11-01 00:00:00,28
2016-12-01 00:00:00,38
2017-02-01 00:00:00,16
2017-03-01 00:00:00,27
2017-04-01 00:00:00,32
2017-06-01 00:00:00,24
2017-07-01 00:00:00,60
2017-08-01 00:00:00,21
2017-11-01 00:00:00,28
2017-12-01 00:00:00,20
2018-01-01 00:00:00,33
2018-03-01 00:00:00,13
2018-04-01 00:00:00,23
2018-05-01 00:00:00,25
2018-06-01 00:00:00,44
2018-07-01 00:00:00,48
2018-08-01 00:00:00,54
2018-09-01 00:00:00,29
2018-10-01 00:00:00,30
2018-11-01 00:00:00,41
2018-12-01 00:00:00,51
2019-06-01 00:00:00,20
2019-07-01 00:00:00,32
2019-08-01 00:00:00,45
2019-09-01 00:00:00,37
2019-10-01 00:00:00,34
2019-11-01 00:00:00,18
2019-12-01 00:00:00,69
2020-01-01 00:00:00,36
2020-02-01 00:00:00,22
2020-03-01 00:00:00,23
2020-06-01 00:00:00,21
2020-08-01 00:00:00,30
2020-09-01 00:00:00,57
2020-11-01 00:00:00,45
2020-12-01 00:00:00,26
2021-01-01 00:00:00,19
2021-02-01 00:00:00,49
2021-04-01 00:00:00,57
2021-05-01 00:00:00,15
2021-06-01 00:00:00,39
2021-07-01 00:00:00,31
2021-08-01 00:00:00,38
2021-09-01 00:00:00,35
2021-11-01 00:00:00,20
2022-01-01 00:00:00,39
2022-03-01 00:00:00,19
2022-04-01 00:00:00,36
2022-05-01 00:00:00,49
2022-06-01 00:00:00,55
2022-08-01 00:00:00,34
2022-09-01 00:00:00,44
2022-10-01 00:00:00,78
2022-11-01 00:00:00,48
2022-12-01 00:00:00,14
