,MVT_GT_Houston TX
2015-01-01 00:00:00,44
2015-02-01 00:00:00,57
2015-03-01 00:00:00,29
2015-04-01 00:00:00,54
2015-05-01 00:00:00,37
2015-06-01 00:00:00,28
2015-07-01 00:00:00,52
2015-08-01 00:00:00,48
2015-09-01 00:00:00,28
2015-10-01 00:00:00,29
2015-11-01 00:00:00,29
2015-12-01 00:00:00,34
2016-01-01 00:00:00,50
2016-02-01 00:00:00,63
2016-03-01 00:00:00,44
2016-04-01 00:00:00,32
2016-05-01 00:00:00,72
2016-06-01 00:00:00,43
2016-07-01 00:00:00,60
2016-08-01 00:00:00,49
2016-09-01 00:00:00,32
2016-10-01 00:00:00,55
2016-11-01 00:00:00,38
2016-12-01 00:00:00,35
2017-01-01 00:00:00,49
2017-02-01 00:00:00,46
2017-03-01 00:00:00,32
2017-04-01 00:00:00,49
2017-05-01 00:00:00,71
2017-06-01 00:00:00,64
2017-07-01 00:00:00,44
2017-08-01 00:00:00,51
2017-09-01 00:00:00,50
2017-10-01 00:00:00,47
2017-11-01 00:00:00,51
2017-12-01 00:00:00,50
2018-01-01 00:00:00,46
2018-02-01 00:00:00,61
2018-03-01 00:00:00,44
2018-04-01 00:00:00,81
2018-05-01 00:00:00,42
2018-06-01 00:00:00,64
2018-07-01 00:00:00,42
2018-08-01 00:00:00,52
2018-09-01 00:00:00,51
2018-10-01 00:00:00,45
2018-11-01 00:00:00,46
2018-12-01 00:00:00,34
2019-01-01 00:00:00,60
2019-02-01 00:00:00,42
2019-03-01 00:00:00,37
2019-04-01 00:00:00,38
2019-05-01 00:00:00,45
2019-06-01 00:00:00,52
2019-07-01 00:00:00,70
2019-08-01 00:00:00,45
2019-09-01 00:00:00,29
2019-10-01 00:00:00,34
2019-11-01 00:00:00,61
2019-12-01 00:00:00,53
2020-01-01 00:00:00,60
2020-02-01 00:00:00,68
2020-03-01 00:00:00,62
2020-04-01 00:00:00,31
2020-05-01 00:00:00,51
2020-06-01 00:00:00,78
2020-07-01 00:00:00,36
2020-08-01 00:00:00,48
2020-09-01 00:00:00,29
2020-10-01 00:00:00,55
2020-11-01 00:00:00,50
2020-12-01 00:00:00,56
2021-01-01 00:00:00,46
2021-02-01 00:00:00,52
2021-03-01 00:00:00,36
2021-04-01 00:00:00,50
2021-05-01 00:00:00,51
2021-06-01 00:00:00,49
2021-07-01 00:00:00,56
2021-08-01 00:00:00,49
2021-09-01 00:00:00,36
2021-10-01 00:00:00,55
2021-11-01 00:00:00,42
2021-12-01 00:00:00,44
2022-01-01 00:00:00,41
2022-02-01 00:00:00,53
2022-03-01 00:00:00,65
2022-04-01 00:00:00,100
2022-05-01 00:00:00,47
2022-06-01 00:00:00,49
2022-07-01 00:00:00,69
2022-08-01 00:00:00,84
2022-09-01 00:00:00,71
2022-10-01 00:00:00,68
2022-11-01 00:00:00,39
2022-12-01 00:00:00,61
