,MVT_GT_Jacksonville FL
2015-01-01 00:00:00,47
2015-02-01 00:00:00,60
2015-03-01 00:00:00,79
2015-04-01 00:00:00,83
2015-09-01 00:00:00,95
2015-12-01 00:00:00,49
2016-03-01 00:00:00,100
2016-04-01 00:00:00,47
2016-06-01 00:00:00,41
2016-07-01 00:00:00,90
2016-08-01 00:00:00,21
2016-10-01 00:00:00,23
2016-11-01 00:00:00,47
2017-01-01 00:00:00,16
2017-03-01 00:00:00,20
2017-04-01 00:00:00,77
2017-05-01 00:00:00,36
2017-06-01 00:00:00,38
2017-07-01 00:00:00,57
2017-10-01 00:00:00,18
2018-01-01 00:00:00,21
2018-02-01 00:00:00,35
2018-04-01 00:00:00,39
2018-05-01 00:00:00,40
2018-06-01 00:00:00,44
2018-07-01 00:00:00,18
2018-08-01 00:00:00,21
2018-10-01 00:00:00,25
2018-11-01 00:00:00,15
2018-12-01 00:00:00,82
2019-02-01 00:00:00,23
2019-03-01 00:00:00,24
2019-04-01 00:00:00,22
2019-05-01 00:00:00,19
2019-06-01 00:00:00,80
2019-07-01 00:00:00,20
2019-08-01 00:00:00,27
2019-11-01 00:00:00,42
2019-12-01 00:00:00,44
2020-01-01 00:00:00,51
2020-03-01 00:00:00,18
2020-04-01 00:00:00,11
2020-05-01 00:00:00,15
2020-06-01 00:00:00,28
2020-07-01 00:00:00,23
2020-10-01 00:00:00,21
2020-11-01 00:00:00,18
2021-01-01 00:00:00,25
2021-02-01 00:00:00,31
2021-04-01 00:00:00,16
2021-06-01 00:00:00,30
2021-09-01 00:00:00,24
2021-11-01 00:00:00,25
2021-12-01 00:00:00,18
2022-03-01 00:00:00,19
2022-05-01 00:00:00,22
2022-06-01 00:00:00,19
2022-07-01 00:00:00,25
2022-08-01 00:00:00,15
2022-09-01 00:00:00,62
2022-10-01 00:00:00,39
2022-11-01 00:00:00,55
2022-12-01 00:00:00,27
