,MVT_GT_Los Angeles CA
2015-01-01 00:00:00,45
2015-02-01 00:00:00,44
2015-03-01 00:00:00,44
2015-04-01 00:00:00,44
2015-05-01 00:00:00,46
2015-06-01 00:00:00,62
2015-07-01 00:00:00,60
2015-08-01 00:00:00,34
2015-09-01 00:00:00,47
2015-10-01 00:00:00,41
2015-11-01 00:00:00,46
2015-12-01 00:00:00,48
2016-01-01 00:00:00,55
2016-02-01 00:00:00,61
2016-03-01 00:00:00,100
2016-04-01 00:00:00,49
2016-05-01 00:00:00,59
2016-06-01 00:00:00,52
2016-07-01 00:00:00,48
2016-08-01 00:00:00,49
2016-09-01 00:00:00,55
2016-10-01 00:00:00,47
