,MVT_GT_Louisville KY
2015-01-01 00:00:00,32
2015-03-01 00:00:00,46
2015-05-01 00:00:00,28
2015-07-01 00:00:00,40
2015-08-01 00:00:00,46
2015-09-01 00:00:00,96
2015-11-01 00:00:00,44
2016-02-01 00:00:00,59
2016-04-01 00:00:00,47
2016-07-01 00:00:00,38
2016-10-01 00:00:00,49
2016-12-01 00:00:00,28
2017-04-01 00:00:00,21
2017-05-01 00:00:00,25
2017-08-01 00:00:00,32
2017-09-01 00:00:00,47
2017-10-01 00:00:00,29
2017-11-01 00:00:00,30
2018-01-01 00:00:00,37
2018-04-01 00:00:00,17
2018-06-01 00:00:00,20
2018-07-01 00:00:00,26
2018-08-01 00:00:00,45
2018-09-01 00:00:00,20
2018-10-01 00:00:00,27
2018-12-01 00:00:00,50
2019-02-01 00:00:00,68
2019-03-01 00:00:00,39
2019-04-01 00:00:00,25
2019-05-01 00:00:00,33
2019-06-01 00:00:00,36
2019-08-01 00:00:00,31
2019-09-01 00:00:00,31
2019-10-01 00:00:00,14
2019-12-01 00:00:00,14
2020-01-01 00:00:00,17
2020-03-01 00:00:00,18
2020-04-01 00:00:00,20
2020-05-01 00:00:00,34
2020-07-01 00:00:00,49
2020-08-01 00:00:00,19
2020-09-01 00:00:00,28
2020-10-01 00:00:00,30
2020-11-01 00:00:00,43
2021-01-01 00:00:00,40
2021-02-01 00:00:00,35
2021-03-01 00:00:00,30
2021-04-01 00:00:00,58
2021-05-01 00:00:00,23
2021-06-01 00:00:00,37
2021-07-01 00:00:00,51
2021-08-01 00:00:00,22
2021-09-01 00:00:00,59
2021-10-01 00:00:00,47
2021-11-01 00:00:00,75
2021-12-01 00:00:00,100
2022-01-01 00:00:00,79
2022-02-01 00:00:00,36
2022-03-01 00:00:00,30
2022-04-01 00:00:00,33
2022-05-01 00:00:00,27
2022-06-01 00:00:00,43
2022-08-01 00:00:00,40
2022-09-01 00:00:00,45
2022-11-01 00:00:00,26
2022-12-01 00:00:00,44
