,MVT_GT_Memphis TN
2015-01-01 00:00:00,34
2015-04-01 00:00:00,29
2015-06-01 00:00:00,25
2015-08-01 00:00:00,100
2015-12-01 00:00:00,53
2016-01-01 00:00:00,38
2016-03-01 00:00:00,21
2016-06-01 00:00:00,26
2016-07-01 00:00:00,55
2016-09-01 00:00:00,46
2016-11-01 00:00:00,45
2016-12-01 00:00:00,49
2017-01-01 00:00:00,67
2017-04-01 00:00:00,73
2017-05-01 00:00:00,32
2017-06-01 00:00:00,20
2017-07-01 00:00:00,28
2017-08-01 00:00:00,36
2017-09-01 00:00:00,21
2017-10-01 00:00:00,58
2017-11-01 00:00:00,23
2017-12-01 00:00:00,32
2018-01-01 00:00:00,57
2018-02-01 00:00:00,81
2018-03-01 00:00:00,89
2018-04-01 00:00:00,47
2018-05-01 00:00:00,30
2018-06-01 00:00:00,48
2018-08-01 00:00:00,41
2018-10-01 00:00:00,30
2018-12-01 00:00:00,37
2019-02-01 00:00:00,39
2019-04-01 00:00:00,20
2019-05-01 00:00:00,54
2019-06-01 00:00:00,22
2019-07-01 00:00:00,24
2019-08-01 00:00:00,24
2019-09-01 00:00:00,31
2019-10-01 00:00:00,54
2019-11-01 00:00:00,21
2019-12-01 00:00:00,22
2020-01-01 00:00:00,36
2020-02-01 00:00:00,24
2020-04-01 00:00:00,26
2020-05-01 00:00:00,12
2020-06-01 00:00:00,37
2020-07-01 00:00:00,31
2020-08-01 00:00:00,34
2020-09-01 00:00:00,19
2020-10-01 00:00:00,29
2020-11-01 00:00:00,14
2020-12-01 00:00:00,36
2021-01-01 00:00:00,30
2021-02-01 00:00:00,30
2021-06-01 00:00:00,57
2021-07-01 00:00:00,73
2021-09-01 00:00:00,32
2021-10-01 00:00:00,35
2021-11-01 00:00:00,19
2021-12-01 00:00:00,29
2022-01-01 00:00:00,59
2022-02-01 00:00:00,43
2022-03-01 00:00:00,17
2022-04-01 00:00:00,31
2022-05-01 00:00:00,48
2022-06-01 00:00:00,17
2022-07-01 00:00:00,86
2022-08-01 00:00:00,39
2022-09-01 00:00:00,50
2022-10-01 00:00:00,78
2022-11-01 00:00:00,58
2022-12-01 00:00:00,87
