,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-01-01 00:00:00,79
2015-02-01 00:00:00,54
2015-03-01 00:00:00,68
2015-07-01 00:00:00,37
2015-08-01 00:00:00,63
2015-11-01 00:00:00,41
2015-12-01 00:00:00,34
2016-01-01 00:00:00,32
2016-02-01 00:00:00,22
2016-03-01 00:00:00,65
2016-05-01 00:00:00,21
2016-08-01 00:00:00,28
2016-09-01 00:00:00,45
2016-10-01 00:00:00,27
2016-11-01 00:00:00,41
2016-12-01 00:00:00,61
2017-01-01 00:00:00,30
2017-02-01 00:00:00,25
2017-03-01 00:00:00,57
2017-05-01 00:00:00,69
2017-08-01 00:00:00,25
2017-10-01 00:00:00,68
2017-11-01 00:00:00,43
2017-12-01 00:00:00,58
2018-01-01 00:00:00,43
2018-02-01 00:00:00,61
2018-03-01 00:00:00,35
2018-05-01 00:00:00,31
2018-06-01 00:00:00,44
2018-07-01 00:00:00,78
2018-09-01 00:00:00,19
2018-10-01 00:00:00,43
2019-01-01 00:00:00,39
2019-03-01 00:00:00,42
2019-04-01 00:00:00,57
2019-05-01 00:00:00,48
2019-06-01 00:00:00,44
2019-07-01 00:00:00,26
2019-08-01 00:00:00,65
2019-09-01 00:00:00,20
2019-10-01 00:00:00,38
2019-11-01 00:00:00,34
2019-12-01 00:00:00,33
2020-02-01 00:00:00,51
2020-03-01 00:00:00,21
2020-04-01 00:00:00,54
2020-05-01 00:00:00,21
2020-06-01 00:00:00,41
2020-08-01 00:00:00,32
2020-09-01 00:00:00,18
2020-10-01 00:00:00,63
2020-12-01 00:00:00,46
2021-01-01 00:00:00,19
2021-02-01 00:00:00,68
2021-05-01 00:00:00,69
2021-07-01 00:00:00,33
2021-09-01 00:00:00,34
2021-10-01 00:00:00,18
2021-11-01 00:00:00,82
2021-12-01 00:00:00,75
2022-01-01 00:00:00,75
2022-03-01 00:00:00,14
2022-04-01 00:00:00,37
2022-05-01 00:00:00,100
2022-06-01 00:00:00,36
2022-07-01 00:00:00,96
2022-08-01 00:00:00,47
2022-09-01 00:00:00,19
2022-10-01 00:00:00,73
2022-11-01 00:00:00,56
2022-12-01 00:00:00,79
