,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,14
2015-02-01 00:00:00,22
2015-03-01 00:00:00,24
2015-04-01 00:00:00,12
2015-06-01 00:00:00,15
2015-08-01 00:00:00,43
2015-09-01 00:00:00,29
2016-01-01 00:00:00,25
2016-04-01 00:00:00,28
2016-05-01 00:00:00,84
2016-06-01 00:00:00,84
2016-07-01 00:00:00,56
2016-09-01 00:00:00,23
2016-10-01 00:00:00,38
2016-11-01 00:00:00,22
2017-01-01 00:00:00,59
2017-03-01 00:00:00,27
2017-04-01 00:00:00,60
2017-05-01 00:00:00,22
2017-06-01 00:00:00,41
2017-07-01 00:00:00,56
2017-09-01 00:00:00,42
2017-11-01 00:00:00,35
2017-12-01 00:00:00,35
2018-02-01 00:00:00,39
2018-03-01 00:00:00,23
2018-05-01 00:00:00,44
2018-06-01 00:00:00,100
2018-08-01 00:00:00,34
2018-09-01 00:00:00,29
2018-10-01 00:00:00,21
2019-01-01 00:00:00,27
2019-03-01 00:00:00,17
2019-04-01 00:00:00,44
2019-05-01 00:00:00,34
2019-08-01 00:00:00,12
2019-10-01 00:00:00,10
2019-11-01 00:00:00,33
2019-12-01 00:00:00,26
2020-03-01 00:00:00,26
2020-04-01 00:00:00,16
2020-05-01 00:00:00,9
2020-06-01 00:00:00,30
2020-07-01 00:00:00,39
2020-08-01 00:00:00,29
2020-11-01 00:00:00,22
2021-01-01 00:00:00,38
2021-02-01 00:00:00,33
2021-05-01 00:00:00,20
2021-06-01 00:00:00,33
2021-07-01 00:00:00,25
2021-10-01 00:00:00,14
2021-11-01 00:00:00,13
2021-12-01 00:00:00,21
2022-01-01 00:00:00,15
2022-02-01 00:00:00,31
2022-03-01 00:00:00,43
2022-04-01 00:00:00,12
2022-05-01 00:00:00,18
2022-06-01 00:00:00,18
2022-09-01 00:00:00,18
2022-11-01 00:00:00,46
2022-12-01 00:00:00,20
