,MVT_GT_Omaha NE
2015-02-01 00:00:00,36
2015-03-01 00:00:00,35
2015-04-01 00:00:00,42
2015-10-01 00:00:00,36
2015-11-01 00:00:00,58
2016-01-01 00:00:00,57
2016-03-01 00:00:00,41
2016-07-01 00:00:00,36
2016-08-01 00:00:00,21
2016-09-01 00:00:00,28
2016-10-01 00:00:00,28
2016-12-01 00:00:00,22
2017-02-01 00:00:00,36
2017-04-01 00:00:00,49
2017-05-01 00:00:00,46
2017-06-01 00:00:00,30
2017-07-01 00:00:00,18
2017-11-01 00:00:00,26
2017-12-01 00:00:00,21
2018-01-01 00:00:00,100
2018-05-01 00:00:00,47
2018-08-01 00:00:00,61
2018-09-01 00:00:00,31
2018-10-01 00:00:00,38
2019-01-01 00:00:00,26
2019-05-01 00:00:00,25
2019-07-01 00:00:00,58
2019-08-01 00:00:00,29
2019-09-01 00:00:00,43
2019-11-01 00:00:00,50
2020-01-01 00:00:00,39
2020-02-01 00:00:00,27
2020-04-01 00:00:00,26
2020-05-01 00:00:00,18
2020-06-01 00:00:00,24
2020-08-01 00:00:00,16
2020-09-01 00:00:00,55
2020-10-01 00:00:00,71
2020-12-01 00:00:00,37
2021-02-01 00:00:00,74
2021-05-01 00:00:00,52
2021-08-01 00:00:00,29
2021-09-01 00:00:00,47
2021-10-01 00:00:00,48
2021-11-01 00:00:00,45
2021-12-01 00:00:00,51
2022-01-01 00:00:00,28
2022-02-01 00:00:00,49
2022-03-01 00:00:00,43
2022-04-01 00:00:00,30
2022-06-01 00:00:00,46
2022-07-01 00:00:00,21
2022-08-01 00:00:00,54
2022-09-01 00:00:00,20
2022-11-01 00:00:00,56
2022-12-01 00:00:00,30
