,MVT_GT_Phoenix AZ
2015-01-01 00:00:00,33
2015-02-01 00:00:00,21
2015-03-01 00:00:00,21
2015-04-01 00:00:00,29
2015-05-01 00:00:00,73
2015-06-01 00:00:00,29
2015-07-01 00:00:00,50
2015-08-01 00:00:00,56
2015-09-01 00:00:00,43
2015-10-01 00:00:00,27
2015-11-01 00:00:00,59
2015-12-01 00:00:00,36
2016-01-01 00:00:00,37
2016-02-01 00:00:00,31
2016-03-01 00:00:00,39
2016-05-01 00:00:00,70
2016-06-01 00:00:00,83
2016-08-01 00:00:00,62
2016-09-01 00:00:00,53
2016-10-01 00:00:00,41
2016-11-01 00:00:00,42
2016-12-01 00:00:00,25
2017-01-01 00:00:00,67
2017-02-01 00:00:00,48
2017-03-01 00:00:00,56
2017-04-01 00:00:00,42
2017-05-01 00:00:00,47
2017-06-01 00:00:00,69
2017-07-01 00:00:00,85
2017-08-01 00:00:00,97
2017-09-01 00:00:00,29
2017-10-01 00:00:00,17
2017-11-01 00:00:00,90
2017-12-01 00:00:00,80
2018-01-01 00:00:00,34
2018-02-01 00:00:00,33
2018-03-01 00:00:00,39
2018-04-01 00:00:00,31
2018-05-01 00:00:00,67
2018-06-01 00:00:00,10
2018-07-01 00:00:00,31
2018-08-01 00:00:00,41
2018-09-01 00:00:00,38
2018-10-01 00:00:00,34
2018-11-01 00:00:00,58
2018-12-01 00:00:00,59
2019-01-01 00:00:00,59
2019-02-01 00:00:00,59
2019-03-01 00:00:00,71
2019-04-01 00:00:00,48
2019-05-01 00:00:00,69
2019-06-01 00:00:00,39
2019-07-01 00:00:00,59
2019-08-01 00:00:00,47
2019-09-01 00:00:00,32
2019-10-01 00:00:00,28
2019-11-01 00:00:00,64
2019-12-01 00:00:00,69
2020-01-01 00:00:00,61
2020-02-01 00:00:00,73
2020-03-01 00:00:00,62
2020-04-01 00:00:00,61
2020-05-01 00:00:00,60
2020-06-01 00:00:00,47
2020-07-01 00:00:00,42
2020-08-01 00:00:00,44
2020-09-01 00:00:00,61
2020-10-01 00:00:00,51
2020-11-01 00:00:00,45
2020-12-01 00:00:00,60
2021-01-01 00:00:00,63
2021-02-01 00:00:00,100
2021-03-01 00:00:00,54
2021-04-01 00:00:00,33
2021-05-01 00:00:00,77
2021-06-01 00:00:00,24
2021-07-01 00:00:00,44
2021-08-01 00:00:00,49
2021-09-01 00:00:00,33
2021-10-01 00:00:00,50
2021-11-01 00:00:00,46
2021-12-01 00:00:00,42
2022-01-01 00:00:00,41
2022-02-01 00:00:00,99
2022-03-01 00:00:00,55
2022-04-01 00:00:00,67
2022-05-01 00:00:00,47
2022-06-01 00:00:00,83
2022-07-01 00:00:00,78
2022-08-01 00:00:00,41
2022-09-01 00:00:00,41
2022-10-01 00:00:00,41
2022-11-01 00:00:00,46
2022-12-01 00:00:00,64
