,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-01-01 00:00:00,64
2015-02-01 00:00:00,63
2015-03-01 00:00:00,32
2015-04-01 00:00:00,89
2015-07-01 00:00:00,50
2015-08-01 00:00:00,70
2015-09-01 00:00:00,55
2015-10-01 00:00:00,31
2015-12-01 00:00:00,32
2016-02-01 00:00:00,37
2016-03-01 00:00:00,81
2016-04-01 00:00:00,61
2016-05-01 00:00:00,46
2016-06-01 00:00:00,56
2016-07-01 00:00:00,22
2016-08-01 00:00:00,80
2016-09-01 00:00:00,37
2016-11-01 00:00:00,59
2016-12-01 00:00:00,56
2017-02-01 00:00:00,46
2017-03-01 00:00:00,76
2017-04-01 00:00:00,26
2017-05-01 00:00:00,40
2017-06-01 00:00:00,43
2017-07-01 00:00:00,22
2017-08-01 00:00:00,47
2017-09-01 00:00:00,18
2017-10-01 00:00:00,40
2017-11-01 00:00:00,56
2017-12-01 00:00:00,67
2018-02-01 00:00:00,29
2018-04-01 00:00:00,19
2018-05-01 00:00:00,48
2018-06-01 00:00:00,52
2018-07-01 00:00:00,73
2018-08-01 00:00:00,52
2018-09-01 00:00:00,87
2018-10-01 00:00:00,20
2018-11-01 00:00:00,66
2018-12-01 00:00:00,52
2019-01-01 00:00:00,14
2019-02-01 00:00:00,23
2019-04-01 00:00:00,22
2019-05-01 00:00:00,42
2019-06-01 00:00:00,28
2019-07-01 00:00:00,66
2019-08-01 00:00:00,52
2019-09-01 00:00:00,49
2019-10-01 00:00:00,60
2019-11-01 00:00:00,43
2019-12-01 00:00:00,65
2020-01-01 00:00:00,39
2020-02-01 00:00:00,30
2020-03-01 00:00:00,24
2020-04-01 00:00:00,37
2020-06-01 00:00:00,58
2020-07-01 00:00:00,59
2020-08-01 00:00:00,46
2020-09-01 00:00:00,76
2020-10-01 00:00:00,68
2020-11-01 00:00:00,30
2020-12-01 00:00:00,60
2021-01-01 00:00:00,21
2021-02-01 00:00:00,44
2021-03-01 00:00:00,50
2021-04-01 00:00:00,16
2021-05-01 00:00:00,71
2021-06-01 00:00:00,25
2021-07-01 00:00:00,44
2021-08-01 00:00:00,37
2021-09-01 00:00:00,32
2021-10-01 00:00:00,67
2021-11-01 00:00:00,62
2021-12-01 00:00:00,80
2022-01-01 00:00:00,32
2022-02-01 00:00:00,95
2022-03-01 00:00:00,33
2022-04-01 00:00:00,98
2022-05-01 00:00:00,40
2022-06-01 00:00:00,73
2022-07-01 00:00:00,42
2022-08-01 00:00:00,88
2022-09-01 00:00:00,37
2022-10-01 00:00:00,55
2022-11-01 00:00:00,34
2022-12-01 00:00:00,100
