,MVT_GT_San Francisco-Oakland-San Jose CA
2015-01-01 00:00:00,74
2015-02-01 00:00:00,56
2015-03-01 00:00:00,78
2015-04-01 00:00:00,92
2015-05-01 00:00:00,73
2015-06-01 00:00:00,70
2015-07-01 00:00:00,57
2015-08-01 00:00:00,92
2015-09-01 00:00:00,71
2015-10-01 00:00:00,85
2015-11-01 00:00:00,79
2015-12-01 00:00:00,100
2016-01-01 00:00:00,84
2016-02-01 00:00:00,64
2016-03-01 00:00:00,69
2016-04-01 00:00:00,69
2016-05-01 00:00:00,68
2016-06-01 00:00:00,86
2016-07-01 00:00:00,80
2016-08-01 00:00:00,33
2016-09-01 00:00:00,69
2016-10-01 00:00:00,92
2016-11-01 00:00:00,83
2016-12-01 00:00:00,63
