,MVT_GT_Seattle-Tacoma WA
2015-01-01 00:00:00,53
2015-02-01 00:00:00,62
2015-03-01 00:00:00,33
2015-04-01 00:00:00,82
2015-05-01 00:00:00,71
2015-06-01 00:00:00,42
2015-07-01 00:00:00,29
2015-08-01 00:00:00,44
2015-09-01 00:00:00,34
2015-10-01 00:00:00,42
2015-11-01 00:00:00,42
2015-12-01 00:00:00,44
2016-01-01 00:00:00,68
2016-02-01 00:00:00,56
2016-03-01 00:00:00,64
2016-04-01 00:00:00,77
2016-05-01 00:00:00,59
2016-06-01 00:00:00,57
2016-07-01 00:00:00,67
2016-08-01 00:00:00,92
2016-11-01 00:00:00,72
2017-07-01 00:00:00,89
2017-09-01 00:00:00,82
2019-03-01 00:00:00,48
2019-04-01 00:00:00,79
2020-12-01 00:00:00,54
2021-01-01 00:00:00,39
2021-07-01 00:00:00,76
2021-10-01 00:00:00,82
2022-03-01 00:00:00,89
2022-07-01 00:00:00,100
