,MVT_GT_Tucson AZ
2015-01-01 00:00:00,57
2015-05-01 00:00:00,41
2015-07-01 00:00:00,100
2015-12-01 00:00:00,53
2016-03-01 00:00:00,61
2016-04-01 00:00:00,51
2016-05-01 00:00:00,21
2016-08-01 00:00:00,26
2017-01-01 00:00:00,34
2017-02-01 00:00:00,26
2017-03-01 00:00:00,15
2017-05-01 00:00:00,25
2017-07-01 00:00:00,27
2017-08-01 00:00:00,17
2017-11-01 00:00:00,39
2018-02-01 00:00:00,18
2018-05-01 00:00:00,86
2018-07-01 00:00:00,48
2018-08-01 00:00:00,29
2018-09-01 00:00:00,58
2018-10-01 00:00:00,16
2019-02-01 00:00:00,16
2019-03-01 00:00:00,36
2019-04-01 00:00:00,16
2019-05-01 00:00:00,24
2019-08-01 00:00:00,22
2019-10-01 00:00:00,34
2020-01-01 00:00:00,16
2020-05-01 00:00:00,24
2020-06-01 00:00:00,17
2020-08-01 00:00:00,40
2020-10-01 00:00:00,17
2020-11-01 00:00:00,47
2021-02-01 00:00:00,17
2021-04-01 00:00:00,17
2021-06-01 00:00:00,24
2021-07-01 00:00:00,23
2021-08-01 00:00:00,18
2022-03-01 00:00:00,48
2022-04-01 00:00:00,17
2022-08-01 00:00:00,25
2022-09-01 00:00:00,13
2022-11-01 00:00:00,21
2022-12-01 00:00:00,21
