,MVT_GT_Tulsa OK
2015-03-01 00:00:00,37
2015-04-01 00:00:00,42
2015-05-01 00:00:00,49
2015-07-01 00:00:00,48
2015-11-01 00:00:00,9
2015-12-01 00:00:00,5
2016-01-01 00:00:00,14
2016-04-01 00:00:00,22
2016-05-01 00:00:00,20
2016-08-01 00:00:00,25
2016-09-01 00:00:00,32
2016-10-01 00:00:00,22
2016-12-01 00:00:00,27
2017-01-01 00:00:00,23
2017-02-01 00:00:00,15
2017-04-01 00:00:00,24
2017-06-01 00:00:00,31
2017-08-01 00:00:00,15
2017-09-01 00:00:00,28
2018-01-01 00:00:00,14
2018-02-01 00:00:00,40
2018-04-01 00:00:00,13
2018-05-01 00:00:00,39
2018-06-01 00:00:00,21
2018-07-01 00:00:00,21
2018-08-01 00:00:00,22
2018-10-01 00:00:00,14
2018-12-01 00:00:00,52
2019-01-01 00:00:00,51
2019-02-01 00:00:00,49
2019-03-01 00:00:00,14
2019-04-01 00:00:00,16
2019-05-01 00:00:00,25
2019-06-01 00:00:00,36
2019-08-01 00:00:00,42
2019-09-01 00:00:00,20
2019-10-01 00:00:00,15
2019-11-01 00:00:00,20
2019-12-01 00:00:00,31
2020-01-01 00:00:00,17
2020-02-01 00:00:00,62
2020-03-01 00:00:00,17
2020-04-01 00:00:00,15
2020-05-01 00:00:00,17
2020-06-01 00:00:00,27
2020-08-01 00:00:00,48
2020-09-01 00:00:00,20
2020-10-01 00:00:00,16
2020-11-01 00:00:00,35
2021-01-01 00:00:00,34
2021-04-01 00:00:00,33
2021-05-01 00:00:00,46
2021-06-01 00:00:00,21
2021-08-01 00:00:00,32
2021-09-01 00:00:00,72
2021-12-01 00:00:00,100
2022-01-01 00:00:00,29
2022-02-01 00:00:00,46
2022-03-01 00:00:00,13
2022-04-01 00:00:00,17
2022-05-01 00:00:00,28
2022-06-01 00:00:00,27
2022-07-01 00:00:00,39
2022-09-01 00:00:00,18
2022-10-01 00:00:00,14
