,MVT_GT_Wichita-Hutchinson KS
2015-02-01 00:00:00,52
2015-03-01 00:00:00,41
2015-05-01 00:00:00,52
2015-06-01 00:00:00,47
2015-09-01 00:00:00,35
2015-11-01 00:00:00,75
2015-12-01 00:00:00,58
2016-01-01 00:00:00,51
2016-05-01 00:00:00,55
2016-06-01 00:00:00,56
2016-08-01 00:00:00,45
2016-09-01 00:00:00,63
2016-10-01 00:00:00,52
2017-04-01 00:00:00,100
2017-05-01 00:00:00,50
2017-06-01 00:00:00,42
2017-08-01 00:00:00,33
2017-09-01 00:00:00,70
2017-10-01 00:00:00,67
2017-11-01 00:00:00,61
2017-12-01 00:00:00,43
2018-01-01 00:00:00,33
2018-02-01 00:00:00,67
2018-03-01 00:00:00,36
2018-06-01 00:00:00,31
2018-07-01 00:00:00,65
2018-08-01 00:00:00,26
2018-09-01 00:00:00,58
2018-12-01 00:00:00,39
2019-02-01 00:00:00,31
2019-04-01 00:00:00,36
2019-05-01 00:00:00,29
2019-06-01 00:00:00,49
2019-09-01 00:00:00,27
2019-10-01 00:00:00,47
2019-11-01 00:00:00,55
2019-12-01 00:00:00,53
2020-02-01 00:00:00,39
2020-05-01 00:00:00,35
2020-10-01 00:00:00,33
2020-12-01 00:00:00,37
2021-01-01 00:00:00,45
2021-04-01 00:00:00,40
2021-05-01 00:00:00,27
2021-07-01 00:00:00,40
2022-02-01 00:00:00,88
2022-03-01 00:00:00,58
2022-05-01 00:00:00,53
2022-06-01 00:00:00,34
2022-07-01 00:00:00,53
2022-09-01 00:00:00,44
2022-12-01 00:00:00,51
