,MVT_GT_Albuquerque-Santa Fe NM
2015-02-01 00:00:00,54
2015-03-01 00:00:00,100
2015-04-01 00:00:00,30
2015-08-01 00:00:00,45
2015-09-01 00:00:00,56
2015-11-01 00:00:00,48
2016-01-01 00:00:00,67
2016-02-01 00:00:00,18
2016-04-01 00:00:00,59
2016-06-01 00:00:00,34
2016-07-01 00:00:00,36
2016-09-01 00:00:00,33
2016-10-01 00:00:00,40
2016-11-01 00:00:00,28
2016-12-01 00:00:00,27
2017-01-01 00:00:00,68
2017-02-01 00:00:00,88
2017-03-01 00:00:00,24
2017-05-01 00:00:00,21
2017-06-01 00:00:00,24
2017-07-01 00:00:00,55
2017-08-01 00:00:00,24
2017-09-01 00:00:00,55
2017-10-01 00:00:00,58
2017-11-01 00:00:00,20
2017-12-01 00:00:00,26
2018-01-01 00:00:00,29
2018-02-01 00:00:00,27
2018-04-01 00:00:00,73
2018-05-01 00:00:00,36
2018-06-01 00:00:00,43
2018-07-01 00:00:00,56
2018-08-01 00:00:00,42
2018-10-01 00:00:00,54
2018-11-01 00:00:00,25
2018-12-01 00:00:00,61
2019-01-01 00:00:00,42
2019-02-01 00:00:00,39
2019-03-01 00:00:00,32
2019-04-01 00:00:00,42
2019-05-01 00:00:00,33
2019-06-01 00:00:00,25
2019-07-01 00:00:00,16
2019-08-01 00:00:00,51
2019-09-01 00:00:00,48
2019-10-01 00:00:00,41
2019-11-01 00:00:00,26
2019-12-01 00:00:00,16
2020-01-01 00:00:00,52
2020-02-01 00:00:00,14
2020-03-01 00:00:00,17
2020-04-01 00:00:00,12
2020-05-01 00:00:00,23
2020-06-01 00:00:00,33
2020-07-01 00:00:00,32
2020-08-01 00:00:00,17
2020-09-01 00:00:00,56
2020-10-01 00:00:00,24
2020-11-01 00:00:00,30
2020-12-01 00:00:00,39
2021-02-01 00:00:00,36
2021-03-01 00:00:00,34
2021-04-01 00:00:00,42
2021-06-01 00:00:00,80
2021-07-01 00:00:00,32
2021-08-01 00:00:00,42
2021-09-01 00:00:00,38
2021-10-01 00:00:00,25
2021-12-01 00:00:00,50
2022-01-01 00:00:00,48
2022-02-01 00:00:00,62
2022-03-01 00:00:00,46
2022-04-01 00:00:00,18
2022-05-01 00:00:00,59
2022-06-01 00:00:00,48
2022-07-01 00:00:00,30
2022-08-01 00:00:00,55
2022-09-01 00:00:00,35
2022-10-01 00:00:00,42
2022-11-01 00:00:00,37
