,MVT_GT_Austin TX
2015-01-01 00:00:00,45
2015-02-01 00:00:00,39
2015-04-01 00:00:00,28
2015-05-01 00:00:00,26
2015-06-01 00:00:00,75
2015-07-01 00:00:00,30
2015-10-01 00:00:00,49
2015-12-01 00:00:00,39
2016-03-01 00:00:00,52
2016-04-01 00:00:00,53
2016-05-01 00:00:00,34
2016-08-01 00:00:00,30
2016-11-01 00:00:00,21
2017-01-01 00:00:00,32
2017-02-01 00:00:00,54
2017-03-01 00:00:00,89
2017-05-01 00:00:00,48
2017-06-01 00:00:00,60
2017-07-01 00:00:00,30
2017-08-01 00:00:00,36
2017-09-01 00:00:00,19
2017-10-01 00:00:00,13
2017-11-01 00:00:00,35
2017-12-01 00:00:00,16
2018-01-01 00:00:00,24
2018-02-01 00:00:00,46
2018-03-01 00:00:00,14
2018-04-01 00:00:00,52
2018-05-01 00:00:00,61
2018-06-01 00:00:00,74
2018-07-01 00:00:00,74
2018-08-01 00:00:00,69
2018-09-01 00:00:00,22
2018-10-01 00:00:00,29
2018-11-01 00:00:00,91
2018-12-01 00:00:00,33
2019-01-01 00:00:00,25
2019-02-01 00:00:00,69
2019-04-01 00:00:00,44
2019-05-01 00:00:00,56
2019-06-01 00:00:00,36
2019-07-01 00:00:00,68
2019-08-01 00:00:00,46
2019-09-01 00:00:00,26
2019-10-01 00:00:00,42
2019-11-01 00:00:00,27
2019-12-01 00:00:00,58
2020-01-01 00:00:00,52
2020-02-01 00:00:00,43
2020-03-01 00:00:00,37
2020-04-01 00:00:00,23
2020-05-01 00:00:00,31
2020-06-01 00:00:00,36
2020-08-01 00:00:00,61
2020-09-01 00:00:00,39
2020-10-01 00:00:00,44
2020-11-01 00:00:00,48
2020-12-01 00:00:00,44
2021-01-01 00:00:00,27
2021-02-01 00:00:00,51
2021-03-01 00:00:00,76
2021-04-01 00:00:00,44
2021-05-01 00:00:00,39
2021-06-01 00:00:00,25
2021-07-01 00:00:00,43
2021-08-01 00:00:00,24
2021-09-01 00:00:00,13
2021-10-01 00:00:00,51
2021-11-01 00:00:00,67
2021-12-01 00:00:00,60
2022-01-01 00:00:00,52
2022-02-01 00:00:00,21
2022-03-01 00:00:00,44
2022-04-01 00:00:00,60
2022-05-01 00:00:00,36
2022-06-01 00:00:00,60
2022-07-01 00:00:00,75
2022-08-01 00:00:00,100
2022-09-01 00:00:00,48
2022-10-01 00:00:00,49
2022-11-01 00:00:00,38
2022-12-01 00:00:00,93
