,MVT_GT_Bakersfield CA
2015-01-01 00:00:00,63
2015-07-01 00:00:00,73
2015-09-01 00:00:00,64
2016-03-01 00:00:00,44
2016-10-01 00:00:00,43
2017-01-01 00:00:00,71
2017-02-01 00:00:00,74
2017-03-01 00:00:00,89
2017-04-01 00:00:00,33
2017-07-01 00:00:00,37
2017-09-01 00:00:00,59
2018-02-01 00:00:00,33
2018-03-01 00:00:00,47
2018-04-01 00:00:00,73
2018-06-01 00:00:00,37
2018-07-01 00:00:00,53
2018-11-01 00:00:00,61
2019-01-01 00:00:00,60
2019-02-01 00:00:00,47
2019-03-01 00:00:00,28
2019-06-01 00:00:00,66
2019-07-01 00:00:00,30
2019-08-01 00:00:00,29
2019-10-01 00:00:00,48
2019-11-01 00:00:00,43
2019-12-01 00:00:00,62
2020-02-01 00:00:00,34
2020-04-01 00:00:00,43
2020-05-01 00:00:00,25
2020-07-01 00:00:00,31
2020-09-01 00:00:00,40
2020-10-01 00:00:00,100
2020-12-01 00:00:00,39
2021-01-01 00:00:00,30
2021-02-01 00:00:00,31
2021-03-01 00:00:00,23
2021-04-01 00:00:00,38
2021-05-01 00:00:00,44
2021-06-01 00:00:00,59
2021-07-01 00:00:00,46
2021-08-01 00:00:00,42
2021-11-01 00:00:00,81
2021-12-01 00:00:00,79
2022-02-01 00:00:00,46
2022-04-01 00:00:00,48
2022-07-01 00:00:00,21
2022-08-01 00:00:00,31
2022-09-01 00:00:00,56
2022-11-01 00:00:00,54
2022-12-01 00:00:00,56
