,MVT_GT_Baltimore MD
2015-01-01 00:00:00,27
2015-02-01 00:00:00,49
2015-03-01 00:00:00,53
2015-05-01 00:00:00,25
2015-06-01 00:00:00,58
2015-07-01 00:00:00,50
2015-10-01 00:00:00,56
2015-11-01 00:00:00,44
2015-12-01 00:00:00,27
2016-01-01 00:00:00,29
2016-02-01 00:00:00,64
2016-04-01 00:00:00,58
2016-05-01 00:00:00,56
2016-07-01 00:00:00,44
2016-08-01 00:00:00,20
2016-09-01 00:00:00,75
2016-10-01 00:00:00,26
2016-11-01 00:00:00,47
2016-12-01 00:00:00,43
2017-01-01 00:00:00,100
2017-02-01 00:00:00,64
2017-03-01 00:00:00,89
2017-04-01 00:00:00,21
2017-05-01 00:00:00,24
2017-07-01 00:00:00,32
2017-08-01 00:00:00,52
2017-09-01 00:00:00,43
2017-10-01 00:00:00,47
2017-11-01 00:00:00,34
2017-12-01 00:00:00,35
2018-01-01 00:00:00,66
2018-02-01 00:00:00,30
2018-03-01 00:00:00,28
2018-04-01 00:00:00,35
2018-05-01 00:00:00,17
2018-06-01 00:00:00,25
2018-07-01 00:00:00,36
2018-09-01 00:00:00,17
2018-10-01 00:00:00,23
2018-11-01 00:00:00,19
2018-12-01 00:00:00,89
2019-02-01 00:00:00,41
2019-03-01 00:00:00,35
2019-04-01 00:00:00,64
2019-05-01 00:00:00,42
2019-07-01 00:00:00,53
2019-08-01 00:00:00,20
2019-09-01 00:00:00,91
2019-11-01 00:00:00,58
2019-12-01 00:00:00,91
2020-01-01 00:00:00,88
2020-02-01 00:00:00,58
2020-03-01 00:00:00,24
2020-04-01 00:00:00,43
2020-05-01 00:00:00,45
2020-06-01 00:00:00,47
2020-07-01 00:00:00,32
2020-08-01 00:00:00,39
2020-09-01 00:00:00,28
2020-10-01 00:00:00,21
2020-11-01 00:00:00,35
2020-12-01 00:00:00,23
2021-01-01 00:00:00,42
2021-02-01 00:00:00,28
2021-03-01 00:00:00,32
2021-04-01 00:00:00,60
2021-05-01 00:00:00,53
2021-06-01 00:00:00,40
2021-07-01 00:00:00,32
2021-08-01 00:00:00,21
2021-09-01 00:00:00,32
2021-10-01 00:00:00,60
2021-11-01 00:00:00,100
2021-12-01 00:00:00,58
2022-01-01 00:00:00,51
2022-02-01 00:00:00,59
2022-03-01 00:00:00,41
2022-04-01 00:00:00,40
2022-05-01 00:00:00,45
2022-06-01 00:00:00,49
2022-07-01 00:00:00,34
2022-08-01 00:00:00,39
2022-09-01 00:00:00,58
2022-10-01 00:00:00,34
2022-11-01 00:00:00,63
2022-12-01 00:00:00,73
