,MVT_GT_Cincinnati OH
01/01/2016 00:00:00,41
03/01/2016 00:00:00,84
04/01/2016 00:00:00,43
05/01/2016 00:00:00,37
06/01/2016 00:00:00,59
07/01/2016 00:00:00,64
10/01/2016 00:00:00,67
11/01/2016 00:00:00,71
01/01/2017 00:00:00,32
04/01/2017 00:00:00,35
05/01/2017 00:00:00,40
06/01/2017 00:00:00,37
07/01/2017 00:00:00,47
08/01/2017 00:00:00,38
11/01/2017 00:00:00,36
12/01/2017 00:00:00,43
01/01/2018 00:00:00,30
02/01/2018 00:00:00,100
03/01/2018 00:00:00,61
06/01/2018 00:00:00,96
07/01/2018 00:00:00,40
08/01/2018 00:00:00,62
09/01/2018 00:00:00,47
10/01/2018 00:00:00,35
12/01/2018 00:00:00,48
04/01/2019 00:00:00,61
05/01/2019 00:00:00,44
08/01/2019 00:00:00,52
09/01/2019 00:00:00,42
10/01/2019 00:00:00,38
11/01/2019 00:00:00,34
12/01/2019 00:00:00,32
01/01/2020 00:00:00,44
02/01/2020 00:00:00,27
03/01/2020 00:00:00,32
05/01/2020 00:00:00,37
07/01/2020 00:00:00,34
08/01/2020 00:00:00,59
09/01/2020 00:00:00,32
12/01/2020 00:00:00,40
01/01/2021 00:00:00,28
02/01/2021 00:00:00,36
03/01/2021 00:00:00,50
05/01/2021 00:00:00,31
06/01/2021 00:00:00,79
07/01/2021 00:00:00,32
08/01/2021 00:00:00,34
10/01/2021 00:00:00,72
11/01/2021 00:00:00,45
01/01/2022 00:00:00,77
02/01/2022 00:00:00,34
03/01/2022 00:00:00,27
04/01/2022 00:00:00,41
05/01/2022 00:00:00,26
07/01/2022 00:00:00,77
08/01/2022 00:00:00,57
09/01/2022 00:00:00,85
10/01/2022 00:00:00,71
11/01/2022 00:00:00,46
12/01/2022 00:00:00,78
