,MVT_GT_Colorado Springs-Pueblo CO
2015-04-01 00:00:00,53
2015-08-01 00:00:00,48
2015-12-01 00:00:00,65
2016-01-01 00:00:00,29
2016-02-01 00:00:00,69
2016-05-01 00:00:00,28
2016-06-01 00:00:00,24
2016-07-01 00:00:00,22
2016-08-01 00:00:00,28
2016-10-01 00:00:00,26
2016-12-01 00:00:00,22
2017-01-01 00:00:00,40
2017-02-01 00:00:00,28
2017-03-01 00:00:00,53
2017-05-01 00:00:00,27
2017-08-01 00:00:00,41
2017-11-01 00:00:00,45
2018-01-01 00:00:00,29
2018-02-01 00:00:00,42
2018-04-01 00:00:00,16
2018-05-01 00:00:00,19
2018-06-01 00:00:00,47
2018-07-01 00:00:00,25
2018-09-01 00:00:00,36
2018-10-01 00:00:00,19
2018-12-01 00:00:00,54
2019-01-01 00:00:00,31
2019-02-01 00:00:00,48
2019-03-01 00:00:00,49
2019-06-01 00:00:00,100
2019-07-01 00:00:00,27
2019-08-01 00:00:00,39
2019-10-01 00:00:00,34
2019-11-01 00:00:00,25
2019-12-01 00:00:00,23
2020-01-01 00:00:00,89
2020-06-01 00:00:00,45
2020-07-01 00:00:00,23
2020-08-01 00:00:00,25
2020-09-01 00:00:00,37
2020-10-01 00:00:00,22
2020-11-01 00:00:00,36
2021-01-01 00:00:00,39
2021-02-01 00:00:00,17
2021-04-01 00:00:00,25
2021-05-01 00:00:00,20
2021-07-01 00:00:00,33
2021-10-01 00:00:00,26
2021-11-01 00:00:00,61
2022-01-01 00:00:00,23
2022-03-01 00:00:00,37
2022-04-01 00:00:00,15
2022-05-01 00:00:00,36
2022-07-01 00:00:00,23
2022-09-01 00:00:00,25
