,MVT_GT_El Paso TX
2015-08-01 00:00:00,41
2015-09-01 00:00:00,28
2015-10-01 00:00:00,50
2015-11-01 00:00:00,30
2016-06-01 00:00:00,26
2016-12-01 00:00:00,15
2017-01-01 00:00:00,12
2017-04-01 00:00:00,25
2017-05-01 00:00:00,20
2017-06-01 00:00:00,21
2017-07-01 00:00:00,46
2017-12-01 00:00:00,20
2018-01-01 00:00:00,20
2018-03-01 00:00:00,27
2018-04-01 00:00:00,12
2018-05-01 00:00:00,11
2018-09-01 00:00:00,16
2019-02-01 00:00:00,48
2019-04-01 00:00:00,27
2019-06-01 00:00:00,19
2019-07-01 00:00:00,39
2019-09-01 00:00:00,17
2019-11-01 00:00:00,14
2020-05-01 00:00:00,22
2020-09-01 00:00:00,10
2020-10-01 00:00:00,14
2020-12-01 00:00:00,37
2021-01-01 00:00:00,14
2021-02-01 00:00:00,13
2021-05-01 00:00:00,14
2021-07-01 00:00:00,35
2021-08-01 00:00:00,33
2021-09-01 00:00:00,15
2021-10-01 00:00:00,100
2021-12-01 00:00:00,16
2022-01-01 00:00:00,10
2022-04-01 00:00:00,32
2022-05-01 00:00:00,16
2022-07-01 00:00:00,13
2022-08-01 00:00:00,13
2022-09-01 00:00:00,19
2022-10-01 00:00:00,18
2022-12-01 00:00:00,43
