,MVT_GT_Fresno-Visalia CA
2015-02-01 00:00:00,51
2015-03-01 00:00:00,28
2015-08-01 00:00:00,69
2016-01-01 00:00:00,31
2016-02-01 00:00:00,30
2016-04-01 00:00:00,27
2016-06-01 00:00:00,45
2016-07-01 00:00:00,53
2016-08-01 00:00:00,46
2016-09-01 00:00:00,26
2016-10-01 00:00:00,86
2016-11-01 00:00:00,28
2016-12-01 00:00:00,42
2017-03-01 00:00:00,34
2017-04-01 00:00:00,29
2017-05-01 00:00:00,38
2017-08-01 00:00:00,23
2017-09-01 00:00:00,47
2017-10-01 00:00:00,40
2017-11-01 00:00:00,23
2017-12-01 00:00:00,39
2018-01-01 00:00:00,69
2018-02-01 00:00:00,92
2018-03-01 00:00:00,90
2018-04-01 00:00:00,26
2018-05-01 00:00:00,31
2018-06-01 00:00:00,66
2018-07-01 00:00:00,61
2018-09-01 00:00:00,82
2018-10-01 00:00:00,64
2018-11-01 00:00:00,100
2018-12-01 00:00:00,60
2019-02-01 00:00:00,38
2019-03-01 00:00:00,35
2019-04-01 00:00:00,27
2019-05-01 00:00:00,26
2019-06-01 00:00:00,23
2019-07-01 00:00:00,50
2019-10-01 00:00:00,84
2019-11-01 00:00:00,63
2019-12-01 00:00:00,54
2020-01-01 00:00:00,63
2020-02-01 00:00:00,64
2020-03-01 00:00:00,31
2020-04-01 00:00:00,32
2020-05-01 00:00:00,34
2020-06-01 00:00:00,38
2020-07-01 00:00:00,18
2020-08-01 00:00:00,48
2020-09-01 00:00:00,55
2020-12-01 00:00:00,35
2021-01-01 00:00:00,24
2021-02-01 00:00:00,28
2021-03-01 00:00:00,54
2021-04-01 00:00:00,42
2021-05-01 00:00:00,43
2021-06-01 00:00:00,40
2021-07-01 00:00:00,50
2021-08-01 00:00:00,45
2021-09-01 00:00:00,62
2021-10-01 00:00:00,23
2021-11-01 00:00:00,35
2021-12-01 00:00:00,92
2022-01-01 00:00:00,52
2022-02-01 00:00:00,60
2022-03-01 00:00:00,31
2022-04-01 00:00:00,57
2022-05-01 00:00:00,58
2022-06-01 00:00:00,92
2022-08-01 00:00:00,39
2022-09-01 00:00:00,27
2022-10-01 00:00:00,17
2022-11-01 00:00:00,82
2022-12-01 00:00:00,44
