,MVT_GT_Kansas City MO
2015-02-01 00:00:00,33
2015-07-01 00:00:00,30
2015-08-01 00:00:00,42
2015-09-01 00:00:00,19
2015-11-01 00:00:00,45
2015-12-01 00:00:00,69
2016-01-01 00:00:00,42
2016-02-01 00:00:00,41
2016-03-01 00:00:00,40
2016-05-01 00:00:00,48
2016-07-01 00:00:00,59
2016-08-01 00:00:00,59
2016-09-01 00:00:00,15
2016-10-01 00:00:00,36
2016-11-01 00:00:00,47
2016-12-01 00:00:00,22
2017-01-01 00:00:00,44
2017-02-01 00:00:00,34
2017-03-01 00:00:00,38
2017-04-01 00:00:00,24
2017-05-01 00:00:00,12
2017-06-01 00:00:00,37
2017-07-01 00:00:00,32
2017-08-01 00:00:00,29
2017-09-01 00:00:00,54
2017-10-01 00:00:00,25
2017-11-01 00:00:00,57
2017-12-01 00:00:00,16
2018-01-01 00:00:00,47
2018-02-01 00:00:00,77
2018-03-01 00:00:00,28
2018-04-01 00:00:00,25
2018-05-01 00:00:00,64
2018-06-01 00:00:00,42
2018-07-01 00:00:00,30
2018-08-01 00:00:00,39
2018-09-01 00:00:00,38
2018-10-01 00:00:00,32
2018-11-01 00:00:00,46
2018-12-01 00:00:00,18
2019-01-01 00:00:00,29
2019-02-01 00:00:00,18
2019-03-01 00:00:00,54
2019-06-01 00:00:00,70
2019-07-01 00:00:00,77
2019-08-01 00:00:00,44
2019-09-01 00:00:00,18
2019-10-01 00:00:00,47
2019-11-01 00:00:00,49
2019-12-01 00:00:00,11
2020-01-01 00:00:00,23
2020-02-01 00:00:00,35
2020-03-01 00:00:00,35
2020-04-01 00:00:00,28
2020-05-01 00:00:00,24
2020-06-01 00:00:00,62
2020-07-01 00:00:00,30
2020-08-01 00:00:00,48
2020-09-01 00:00:00,14
2020-10-01 00:00:00,32
2020-11-01 00:00:00,25
2020-12-01 00:00:00,16
2021-01-01 00:00:00,29
2021-02-01 00:00:00,41
2021-03-01 00:00:00,24
2021-04-01 00:00:00,32
2021-05-01 00:00:00,68
2021-06-01 00:00:00,42
2021-07-01 00:00:00,51
2021-08-01 00:00:00,33
2021-09-01 00:00:00,100
2021-10-01 00:00:00,28
2021-11-01 00:00:00,32
2021-12-01 00:00:00,19
2022-01-01 00:00:00,36
2022-02-01 00:00:00,22
2022-03-01 00:00:00,27
2022-04-01 00:00:00,59
2022-05-01 00:00:00,42
2022-06-01 00:00:00,11
2022-07-01 00:00:00,37
2022-08-01 00:00:00,50
2022-09-01 00:00:00,24
2022-10-01 00:00:00,41
2022-11-01 00:00:00,27
2022-12-01 00:00:00,63
