,MVT_GT_Memphis TN
2016-01-01 00:00:00,27
2016-03-01 00:00:00,30
2016-05-01 00:00:00,43
2016-07-01 00:00:00,21
2016-08-01 00:00:00,21
2016-09-01 00:00:00,98
2016-11-01 00:00:00,27
2016-12-01 00:00:00,71
2017-01-01 00:00:00,53
2017-02-01 00:00:00,19
2017-03-01 00:00:00,21
2017-05-01 00:00:00,49
2017-06-01 00:00:00,44
2017-07-01 00:00:00,22
2017-08-01 00:00:00,26
2017-09-01 00:00:00,25
2017-10-01 00:00:00,52
2017-11-01 00:00:00,47
2017-12-01 00:00:00,41
2018-01-01 00:00:00,70
2018-03-01 00:00:00,42
2018-04-01 00:00:00,22
2018-06-01 00:00:00,29
2018-07-01 00:00:00,36
2018-09-01 00:00:00,39
2018-10-01 00:00:00,39
2018-11-01 00:00:00,21
2018-12-01 00:00:00,37
2019-03-01 00:00:00,15
2019-05-01 00:00:00,58
2019-08-01 00:00:00,33
2019-09-01 00:00:00,21
2019-10-01 00:00:00,32
2019-11-01 00:00:00,23
2019-12-01 00:00:00,25
2020-01-01 00:00:00,28
2020-02-01 00:00:00,23
2020-04-01 00:00:00,16
2020-06-01 00:00:00,27
2020-07-01 00:00:00,51
2020-08-01 00:00:00,33
2020-09-01 00:00:00,36
2020-10-01 00:00:00,31
2020-11-01 00:00:00,28
2020-12-01 00:00:00,39
2021-01-01 00:00:00,20
2021-02-01 00:00:00,30
2021-03-01 00:00:00,15
2021-04-01 00:00:00,23
2021-06-01 00:00:00,45
2021-07-01 00:00:00,100
2021-08-01 00:00:00,37
2021-10-01 00:00:00,33
2021-11-01 00:00:00,21
2021-12-01 00:00:00,29
2022-02-01 00:00:00,31
2022-04-01 00:00:00,37
2022-06-01 00:00:00,49
2022-07-01 00:00:00,68
2022-08-01 00:00:00,41
2022-09-01 00:00:00,38
2022-10-01 00:00:00,61
2022-11-01 00:00:00,47
2022-12-01 00:00:00,67
