,MVT_GT_New Orleans LA
02/01/2015 00:00:00,73
08/01/2016 00:00:00,87
10/01/2016 00:00:00,49
11/01/2016 00:00:00,56
02/01/2017 00:00:00,46
07/01/2017 00:00:00,46
08/01/2017 00:00:00,82
09/01/2017 00:00:00,55
10/01/2017 00:00:00,46
02/01/2018 00:00:00,57
04/01/2018 00:00:00,46
08/01/2018 00:00:00,42
09/01/2018 00:00:00,66
11/01/2018 00:00:00,51
12/01/2018 00:00:00,84
07/01/2019 00:00:00,56
08/01/2019 00:00:00,42
12/01/2019 00:00:00,42
01/01/2020 00:00:00,87
03/01/2020 00:00:00,36
04/01/2020 00:00:00,62
06/01/2020 00:00:00,45
08/01/2020 00:00:00,40
10/01/2020 00:00:00,45
11/01/2020 00:00:00,39
01/01/2021 00:00:00,45
03/01/2021 00:00:00,92
04/01/2021 00:00:00,81
06/01/2021 00:00:00,58
09/01/2021 00:00:00,65
11/01/2021 00:00:00,90
02/01/2022 00:00:00,69
03/01/2022 00:00:00,44
04/01/2022 00:00:00,100
05/01/2022 00:00:00,46
07/01/2022 00:00:00,69
08/01/2022 00:00:00,38
09/01/2022 00:00:00,37
11/01/2022 00:00:00,55
