,MVT_GT_New York NY
2015-01-01 00:00:00,59
2015-03-01 00:00:00,62
2015-05-01 00:00:00,50
2015-07-01 00:00:00,72
2015-08-01 00:00:00,62
2015-12-01 00:00:00,61
2016-01-01 00:00:00,53
2016-02-01 00:00:00,59
2016-03-01 00:00:00,80
2016-06-01 00:00:00,55
2016-07-01 00:00:00,61
2016-08-01 00:00:00,68
2016-09-01 00:00:00,65
2016-10-01 00:00:00,52
2016-11-01 00:00:00,57
2017-02-01 00:00:00,50
2017-04-01 00:00:00,57
2017-05-01 00:00:00,61
2017-06-01 00:00:00,68
2017-07-01 00:00:00,64
2017-08-01 00:00:00,67
2017-09-01 00:00:00,58
2017-10-01 00:00:00,55
2017-11-01 00:00:00,81
2018-01-01 00:00:00,60
2018-02-01 00:00:00,82
2018-04-01 00:00:00,74
2018-05-01 00:00:00,67
2018-06-01 00:00:00,76
2018-08-01 00:00:00,67
2018-11-01 00:00:00,64
2018-12-01 00:00:00,69
2019-01-01 00:00:00,55
2019-02-01 00:00:00,62
2019-06-01 00:00:00,54
2019-09-01 00:00:00,53
2019-10-01 00:00:00,62
2020-02-01 00:00:00,76
2020-03-01 00:00:00,41
2020-04-01 00:00:00,58
2020-05-01 00:00:00,79
2020-06-01 00:00:00,69
2020-09-01 00:00:00,66
2021-01-01 00:00:00,79
2021-05-01 00:00:00,86
2021-06-01 00:00:00,87
2021-07-01 00:00:00,84
2021-08-01 00:00:00,75
2022-02-01 00:00:00,92
2022-03-01 00:00:00,100
2022-08-01 00:00:00,94
2022-10-01 00:00:00,88
2022-11-01 00:00:00,82
2022-12-01 00:00:00,75
