,MVT_GT_Norfolk-Portsmouth-Newport News VA
2015-01-01 00:00:00,67
2015-02-01 00:00:00,57
2015-03-01 00:00:00,44
2015-05-01 00:00:00,29
2015-06-01 00:00:00,55
2015-07-01 00:00:00,45
2015-09-01 00:00:00,28
2015-10-01 00:00:00,46
2015-11-01 00:00:00,31
2015-12-01 00:00:00,49
2016-01-01 00:00:00,25
2016-02-01 00:00:00,83
2016-03-01 00:00:00,19
2016-04-01 00:00:00,36
2016-06-01 00:00:00,100
2016-07-01 00:00:00,23
2016-08-01 00:00:00,23
2016-09-01 00:00:00,85
2016-10-01 00:00:00,23
2016-12-01 00:00:00,64
2017-01-01 00:00:00,29
2017-02-01 00:00:00,28
2017-03-01 00:00:00,49
2017-05-01 00:00:00,31
2017-07-01 00:00:00,32
2017-08-01 00:00:00,27
2017-10-01 00:00:00,45
2018-01-01 00:00:00,36
2018-02-01 00:00:00,86
2018-04-01 00:00:00,26
2018-05-01 00:00:00,23
2018-06-01 00:00:00,34
2018-07-01 00:00:00,30
2018-08-01 00:00:00,57
2018-09-01 00:00:00,24
2018-10-01 00:00:00,34
2018-11-01 00:00:00,47
2019-01-01 00:00:00,36
2019-03-01 00:00:00,38
2019-05-01 00:00:00,65
2019-06-01 00:00:00,58
2019-07-01 00:00:00,29
2019-08-01 00:00:00,61
2019-09-01 00:00:00,39
2019-10-01 00:00:00,23
2019-11-01 00:00:00,32
2019-12-01 00:00:00,49
2020-01-01 00:00:00,35
2020-02-01 00:00:00,56
2020-05-01 00:00:00,26
2020-06-01 00:00:00,39
2020-07-01 00:00:00,23
2020-08-01 00:00:00,49
2020-09-01 00:00:00,13
2020-10-01 00:00:00,35
2020-11-01 00:00:00,16
2020-12-01 00:00:00,14
2021-01-01 00:00:00,30
2021-02-01 00:00:00,91
2021-03-01 00:00:00,16
2021-04-01 00:00:00,43
2021-05-01 00:00:00,79
2021-07-01 00:00:00,54
2021-08-01 00:00:00,41
2021-10-01 00:00:00,42
2021-11-01 00:00:00,38
2021-12-01 00:00:00,66
2022-01-01 00:00:00,63
2022-02-01 00:00:00,57
2022-03-01 00:00:00,26
2022-05-01 00:00:00,77
2022-06-01 00:00:00,82
2022-07-01 00:00:00,96
2022-08-01 00:00:00,61
2022-09-01 00:00:00,20
2022-10-01 00:00:00,63
2022-11-01 00:00:00,77
2022-12-01 00:00:00,70
