,MVT_GT_Oklahoma City OK
2015-01-01 00:00:00,37
2015-02-01 00:00:00,32
2015-03-01 00:00:00,26
2015-05-01 00:00:00,16
2015-06-01 00:00:00,28
2015-07-01 00:00:00,46
2016-01-01 00:00:00,35
2016-02-01 00:00:00,100
2016-05-01 00:00:00,35
2016-07-01 00:00:00,24
2016-08-01 00:00:00,37
2016-10-01 00:00:00,38
2016-11-01 00:00:00,44
2016-12-01 00:00:00,21
2017-01-01 00:00:00,53
2017-02-01 00:00:00,21
2017-05-01 00:00:00,40
2017-06-01 00:00:00,67
2017-07-01 00:00:00,36
2017-08-01 00:00:00,69
2017-10-01 00:00:00,39
2017-11-01 00:00:00,68
2017-12-01 00:00:00,75
2018-01-01 00:00:00,58
2018-02-01 00:00:00,93
2018-03-01 00:00:00,53
2018-04-01 00:00:00,43
2018-05-01 00:00:00,24
2018-07-01 00:00:00,29
2018-08-01 00:00:00,61
2018-09-01 00:00:00,43
2018-10-01 00:00:00,38
2019-01-01 00:00:00,32
2019-02-01 00:00:00,58
2019-03-01 00:00:00,19
2019-04-01 00:00:00,19
2019-06-01 00:00:00,45
2019-08-01 00:00:00,27
2019-10-01 00:00:00,19
2019-11-01 00:00:00,36
2019-12-01 00:00:00,39
2020-01-01 00:00:00,39
2020-02-01 00:00:00,53
2020-03-01 00:00:00,38
2020-04-01 00:00:00,28
2020-07-01 00:00:00,33
2020-08-01 00:00:00,18
2020-09-01 00:00:00,17
2020-10-01 00:00:00,23
2020-11-01 00:00:00,31
2020-12-01 00:00:00,37
2021-01-01 00:00:00,31
2021-02-01 00:00:00,54
2021-05-01 00:00:00,26
2021-06-01 00:00:00,38
2021-08-01 00:00:00,57
2021-09-01 00:00:00,28
2021-10-01 00:00:00,77
2021-11-01 00:00:00,35
2022-01-01 00:00:00,32
2022-02-01 00:00:00,61
2022-03-01 00:00:00,55
2022-04-01 00:00:00,21
2022-06-01 00:00:00,48
2022-07-01 00:00:00,20
2022-08-01 00:00:00,25
2022-09-01 00:00:00,48
2022-10-01 00:00:00,29
2022-11-01 00:00:00,51
