,MVT_GT_Omaha NE
2015-01-01 00:00:00,55
2015-02-01 00:00:00,31
2015-03-01 00:00:00,31
2015-04-01 00:00:00,21
2015-11-01 00:00:00,58
2015-12-01 00:00:00,17
2016-03-01 00:00:00,16
2016-05-01 00:00:00,59
2016-06-01 00:00:00,21
2016-07-01 00:00:00,22
2016-08-01 00:00:00,35
2016-09-01 00:00:00,24
2016-10-01 00:00:00,47
2016-11-01 00:00:00,20
2017-03-01 00:00:00,21
2017-04-01 00:00:00,17
2017-05-01 00:00:00,30
2017-06-01 00:00:00,26
2017-07-01 00:00:00,66
2017-10-01 00:00:00,24
2017-11-01 00:00:00,35
2018-01-01 00:00:00,44
2018-02-01 00:00:00,25
2018-05-01 00:00:00,33
2018-09-01 00:00:00,64
2018-10-01 00:00:00,28
2019-02-01 00:00:00,27
2019-05-01 00:00:00,30
2019-06-01 00:00:00,16
2019-07-01 00:00:00,29
2019-09-01 00:00:00,13
2019-10-01 00:00:00,23
2019-11-01 00:00:00,44
2019-12-01 00:00:00,25
2020-01-01 00:00:00,12
2020-02-01 00:00:00,37
2020-05-01 00:00:00,11
2020-06-01 00:00:00,49
2020-08-01 00:00:00,18
2020-10-01 00:00:00,21
2020-11-01 00:00:00,18
2020-12-01 00:00:00,35
2021-01-01 00:00:00,23
2021-03-01 00:00:00,49
2021-04-01 00:00:00,21
2021-05-01 00:00:00,49
2021-07-01 00:00:00,13
2021-08-01 00:00:00,41
2021-09-01 00:00:00,35
2021-11-01 00:00:00,18
2021-12-01 00:00:00,48
2022-03-01 00:00:00,22
2022-04-01 00:00:00,42
2022-05-01 00:00:00,27
2022-08-01 00:00:00,27
2022-09-01 00:00:00,100
2022-10-01 00:00:00,18
2022-11-01 00:00:00,31
2022-12-01 00:00:00,17
