,MVT_GT_Philadelphia PA
2017-05-01 00:00:00,55
2017-06-01 00:00:00,49
2017-07-01 00:00:00,41
2017-08-01 00:00:00,56
2017-09-01 00:00:00,33
2017-10-01 00:00:00,35
2017-11-01 00:00:00,51
2017-12-01 00:00:00,39
2018-01-01 00:00:00,49
2018-02-01 00:00:00,46
2018-03-01 00:00:00,43
2018-04-01 00:00:00,35
2018-05-01 00:00:00,43
2018-06-01 00:00:00,49
2018-07-01 00:00:00,47
2018-08-01 00:00:00,48
2018-09-01 00:00:00,55
2018-10-01 00:00:00,41
2018-11-01 00:00:00,33
2018-12-01 00:00:00,48
2019-01-01 00:00:00,51
2019-02-01 00:00:00,36
2019-03-01 00:00:00,38
2019-04-01 00:00:00,37
2019-05-01 00:00:00,29
2019-06-01 00:00:00,24
2019-07-01 00:00:00,53
2019-08-01 00:00:00,54
2019-09-01 00:00:00,47
2019-10-01 00:00:00,45
2019-11-01 00:00:00,46
2019-12-01 00:00:00,62
2020-01-01 00:00:00,56
2020-02-01 00:00:00,34
2020-03-01 00:00:00,42
2020-04-01 00:00:00,29
2020-05-01 00:00:00,33
2020-06-01 00:00:00,55
2020-07-01 00:00:00,31
2020-08-01 00:00:00,53
2020-09-01 00:00:00,56
2020-10-01 00:00:00,54
2020-11-01 00:00:00,58
2020-12-01 00:00:00,54
2021-01-01 00:00:00,65
2021-02-01 00:00:00,40
2021-03-01 00:00:00,48
2021-04-01 00:00:00,36
2021-05-01 00:00:00,48
2021-06-01 00:00:00,42
2021-07-01 00:00:00,54
2021-08-01 00:00:00,44
2021-09-01 00:00:00,57
2021-10-01 00:00:00,54
2021-11-01 00:00:00,75
2021-12-01 00:00:00,83
2022-01-01 00:00:00,90
2022-02-01 00:00:00,55
2022-03-01 00:00:00,66
2022-04-01 00:00:00,55
2022-05-01 00:00:00,63
2022-06-01 00:00:00,82
2022-07-01 00:00:00,71
2022-08-01 00:00:00,100
2022-09-01 00:00:00,63
2022-10-01 00:00:00,86
2022-11-01 00:00:00,73
2022-12-01 00:00:00,82
