,MVT_GT_Raleigh-Durham (Fayetteville) NC
2015-02-01 00:00:00,64
2015-03-01 00:00:00,34
2015-04-01 00:00:00,30
2015-05-01 00:00:00,67
2015-06-01 00:00:00,45
2015-08-01 00:00:00,43
2015-09-01 00:00:00,68
2015-10-01 00:00:00,31
2015-11-01 00:00:00,18
2015-12-01 00:00:00,24
2016-01-01 00:00:00,33
2016-02-01 00:00:00,38
2016-03-01 00:00:00,15
2016-04-01 00:00:00,15
2016-05-01 00:00:00,26
2016-08-01 00:00:00,33
2016-09-01 00:00:00,17
2016-11-01 00:00:00,52
2016-12-01 00:00:00,30
2017-02-01 00:00:00,18
2017-03-01 00:00:00,43
2017-04-01 00:00:00,23
2017-05-01 00:00:00,100
2017-08-01 00:00:00,61
2017-09-01 00:00:00,16
2017-10-01 00:00:00,51
2017-12-01 00:00:00,38
2018-02-01 00:00:00,52
2018-03-01 00:00:00,12
2018-04-01 00:00:00,31
2018-06-01 00:00:00,40
2018-07-01 00:00:00,35
2018-08-01 00:00:00,48
2018-09-01 00:00:00,17
2018-11-01 00:00:00,71
2018-12-01 00:00:00,53
2019-01-01 00:00:00,15
2019-02-01 00:00:00,23
2019-03-01 00:00:00,22
2019-04-01 00:00:00,24
2019-05-01 00:00:00,13
2019-06-01 00:00:00,21
2019-07-01 00:00:00,37
2019-08-01 00:00:00,33
2019-09-01 00:00:00,30
2019-10-01 00:00:00,24
2019-11-01 00:00:00,51
2019-12-01 00:00:00,57
2020-01-01 00:00:00,49
2020-02-01 00:00:00,69
2020-04-01 00:00:00,33
2020-05-01 00:00:00,13
2020-06-01 00:00:00,61
2020-07-01 00:00:00,43
2020-08-01 00:00:00,27
2020-09-01 00:00:00,46
2020-10-01 00:00:00,46
2020-11-01 00:00:00,47
2020-12-01 00:00:00,34
2021-01-01 00:00:00,31
2021-02-01 00:00:00,37
2021-03-01 00:00:00,49
2021-04-01 00:00:00,34
2021-05-01 00:00:00,38
2021-06-01 00:00:00,27
2021-07-01 00:00:00,37
2021-08-01 00:00:00,34
2021-09-01 00:00:00,25
2021-10-01 00:00:00,35
2021-11-01 00:00:00,25
2021-12-01 00:00:00,47
2022-01-01 00:00:00,19
2022-02-01 00:00:00,18
2022-03-01 00:00:00,34
2022-04-01 00:00:00,55
2022-05-01 00:00:00,31
2022-06-01 00:00:00,37
2022-07-01 00:00:00,33
2022-08-01 00:00:00,53
2022-09-01 00:00:00,68
2022-10-01 00:00:00,27
2022-11-01 00:00:00,51
2022-12-01 00:00:00,49
