,MVT_GT_San Antonio TX
2015-02-01 00:00:00,59
2015-04-01 00:00:00,97
2015-05-01 00:00:00,30
2015-07-01 00:00:00,43
2015-08-01 00:00:00,59
2015-09-01 00:00:00,31
2015-10-01 00:00:00,36
2016-01-01 00:00:00,69
2016-02-01 00:00:00,37
2016-03-01 00:00:00,27
2016-04-01 00:00:00,28
2016-05-01 00:00:00,39
2016-06-01 00:00:00,23
2016-07-01 00:00:00,24
2016-08-01 00:00:00,29
2016-10-01 00:00:00,59
2016-11-01 00:00:00,22
2016-12-01 00:00:00,16
2017-01-01 00:00:00,16
2017-02-01 00:00:00,29
2017-03-01 00:00:00,62
2017-04-01 00:00:00,42
2017-05-01 00:00:00,62
2017-06-01 00:00:00,66
2017-07-01 00:00:00,35
2017-08-01 00:00:00,35
2017-09-01 00:00:00,35
2017-10-01 00:00:00,26
2017-11-01 00:00:00,84
2017-12-01 00:00:00,14
2018-01-01 00:00:00,83
2018-02-01 00:00:00,22
2018-03-01 00:00:00,44
2018-04-01 00:00:00,42
2018-05-01 00:00:00,20
2018-07-01 00:00:00,60
2018-08-01 00:00:00,53
2018-09-01 00:00:00,18
2018-10-01 00:00:00,48
2019-01-01 00:00:00,54
2019-02-01 00:00:00,44
2019-03-01 00:00:00,46
2019-04-01 00:00:00,36
2019-06-01 00:00:00,36
2019-07-01 00:00:00,31
2019-08-01 00:00:00,30
2019-09-01 00:00:00,82
2019-11-01 00:00:00,23
2019-12-01 00:00:00,28
2020-01-01 00:00:00,40
2020-02-01 00:00:00,39
2020-03-01 00:00:00,35
2020-04-01 00:00:00,49
2020-05-01 00:00:00,46
2020-06-01 00:00:00,20
2020-07-01 00:00:00,43
2020-08-01 00:00:00,44
2020-09-01 00:00:00,61
2020-10-01 00:00:00,16
2020-11-01 00:00:00,55
2020-12-01 00:00:00,29
2021-01-01 00:00:00,45
2021-03-01 00:00:00,37
2021-04-01 00:00:00,35
2021-05-01 00:00:00,32
2021-06-01 00:00:00,13
2021-07-01 00:00:00,24
2021-08-01 00:00:00,39
2021-09-01 00:00:00,20
2021-10-01 00:00:00,32
2021-11-01 00:00:00,46
2021-12-01 00:00:00,41
2022-01-01 00:00:00,43
2022-02-01 00:00:00,58
2022-03-01 00:00:00,52
2022-04-01 00:00:00,30
2022-05-01 00:00:00,97
2022-06-01 00:00:00,97
2022-07-01 00:00:00,43
2022-08-01 00:00:00,78
2022-09-01 00:00:00,82
2022-10-01 00:00:00,62
2022-11-01 00:00:00,69
2022-12-01 00:00:00,100
