,MVT_GT_San Francisco-Oakland-San Jose CA
2015-01-01 00:00:00,68
2015-04-01 00:00:00,66
2015-05-01 00:00:00,51
2015-06-01 00:00:00,50
2015-07-01 00:00:00,46
2015-08-01 00:00:00,78
2015-09-01 00:00:00,64
2015-11-01 00:00:00,51
2016-02-01 00:00:00,60
2016-03-01 00:00:00,42
2016-05-01 00:00:00,66
2016-07-01 00:00:00,67
2016-09-01 00:00:00,65
2016-12-01 00:00:00,60
2017-02-01 00:00:00,71
2017-04-01 00:00:00,71
2017-08-01 00:00:00,61
2017-09-01 00:00:00,56
2017-10-01 00:00:00,66
2017-11-01 00:00:00,75
2018-01-01 00:00:00,75
2018-04-01 00:00:00,65
2018-05-01 00:00:00,72
2018-06-01 00:00:00,64
2018-07-01 00:00:00,71
2018-09-01 00:00:00,64
2018-10-01 00:00:00,47
2018-11-01 00:00:00,57
2018-12-01 00:00:00,53
2019-01-01 00:00:00,62
2019-02-01 00:00:00,68
2019-03-01 00:00:00,65
2019-05-01 00:00:00,67
2019-07-01 00:00:00,76
2019-08-01 00:00:00,69
2019-09-01 00:00:00,51
2019-11-01 00:00:00,73
2019-12-01 00:00:00,81
2020-01-01 00:00:00,58
2020-03-01 00:00:00,47
2020-04-01 00:00:00,57
2020-07-01 00:00:00,58
2020-09-01 00:00:00,57
2020-12-01 00:00:00,86
2021-02-01 00:00:00,90
2021-05-01 00:00:00,66
2021-06-01 00:00:00,76
2021-07-01 00:00:00,74
2021-09-01 00:00:00,71
2021-10-01 00:00:00,76
2021-11-01 00:00:00,77
2021-12-01 00:00:00,64
2022-01-01 00:00:00,100
2022-03-01 00:00:00,79
2022-08-01 00:00:00,78
2022-10-01 00:00:00,84
