,MVT_GT_Tulsa OK
2015-03-01 00:00:00,40
2015-07-01 00:00:00,31
2015-09-01 00:00:00,54
2015-11-01 00:00:00,32
2016-02-01 00:00:00,38
2016-03-01 00:00:00,20
2016-04-01 00:00:00,35
2016-05-01 00:00:00,43
2016-06-01 00:00:00,71
2016-07-01 00:00:00,65
2016-08-01 00:00:00,42
2016-09-01 00:00:00,36
2016-10-01 00:00:00,20
2016-11-01 00:00:00,44
2016-12-01 00:00:00,18
2017-01-01 00:00:00,16
2017-02-01 00:00:00,43
2017-03-01 00:00:00,32
2017-04-01 00:00:00,48
2017-05-01 00:00:00,29
2017-06-01 00:00:00,21
2017-07-01 00:00:00,15
2017-08-01 00:00:00,9
2017-09-01 00:00:00,15
2017-10-01 00:00:00,30
2017-11-01 00:00:00,28
2017-12-01 00:00:00,19
2018-01-01 00:00:00,25
2018-03-01 00:00:00,21
2018-04-01 00:00:00,59
2018-05-01 00:00:00,70
2018-06-01 00:00:00,100
2018-07-01 00:00:00,25
2018-08-01 00:00:00,58
2018-09-01 00:00:00,62
2018-10-01 00:00:00,47
2018-12-01 00:00:00,79
2019-01-01 00:00:00,23
2019-02-01 00:00:00,27
2019-03-01 00:00:00,18
2019-04-01 00:00:00,18
2019-05-01 00:00:00,62
2019-06-01 00:00:00,40
2019-07-01 00:00:00,29
2019-08-01 00:00:00,36
2019-09-01 00:00:00,28
2019-10-01 00:00:00,28
2019-11-01 00:00:00,36
2019-12-01 00:00:00,63
2020-01-01 00:00:00,18
2020-02-01 00:00:00,19
2020-04-01 00:00:00,8
2020-06-01 00:00:00,31
2020-07-01 00:00:00,18
2020-08-01 00:00:00,67
2020-09-01 00:00:00,42
2020-10-01 00:00:00,46
2020-11-01 00:00:00,34
2020-12-01 00:00:00,26
2021-01-01 00:00:00,44
2021-02-01 00:00:00,33
2021-03-01 00:00:00,29
2021-04-01 00:00:00,47
2021-05-01 00:00:00,59
2021-06-01 00:00:00,62
2021-07-01 00:00:00,13
2021-09-01 00:00:00,35
2021-10-01 00:00:00,12
2021-11-01 00:00:00,20
2021-12-01 00:00:00,17
2022-01-01 00:00:00,44
2022-02-01 00:00:00,58
2022-03-01 00:00:00,31
2022-04-01 00:00:00,19
2022-05-01 00:00:00,64
2022-06-01 00:00:00,45
2022-07-01 00:00:00,47
2022-08-01 00:00:00,18
2022-09-01 00:00:00,36
2022-10-01 00:00:00,40
2022-11-01 00:00:00,14
