,MVT_GT_Wichita-Hutchinson KS
2015-01-01 00:00:00,44
2015-02-01 00:00:00,42
2015-05-01 00:00:00,26
2015-06-01 00:00:00,40
2015-12-01 00:00:00,29
2016-01-01 00:00:00,23
2016-02-01 00:00:00,70
2016-05-01 00:00:00,47
2016-07-01 00:00:00,21
2016-08-01 00:00:00,23
2016-09-01 00:00:00,57
2016-10-01 00:00:00,54
2016-11-01 00:00:00,21
2017-01-01 00:00:00,28
2017-02-01 00:00:00,23
2017-04-01 00:00:00,64
2017-07-01 00:00:00,23
2017-08-01 00:00:00,17
2017-10-01 00:00:00,26
2017-11-01 00:00:00,21
2017-12-01 00:00:00,51
2018-01-01 00:00:00,22
2018-02-01 00:00:00,48
2018-04-01 00:00:00,40
2018-05-01 00:00:00,45
2018-06-01 00:00:00,61
2018-07-01 00:00:00,35
2018-09-01 00:00:00,75
2018-12-01 00:00:00,28
2019-01-01 00:00:00,59
2019-03-01 00:00:00,19
2019-04-01 00:00:00,83
2019-05-01 00:00:00,63
2019-06-01 00:00:00,47
2019-10-01 00:00:00,32
2019-11-01 00:00:00,31
2020-01-01 00:00:00,28
2020-02-01 00:00:00,21
2020-03-01 00:00:00,49
2020-04-01 00:00:00,15
2020-05-01 00:00:00,39
2020-08-01 00:00:00,41
2020-11-01 00:00:00,23
2020-12-01 00:00:00,100
2021-01-01 00:00:00,39
2021-03-01 00:00:00,59
2021-04-01 00:00:00,29
2021-05-01 00:00:00,36
2021-07-01 00:00:00,20
2021-08-01 00:00:00,33
2021-10-01 00:00:00,29
2021-11-01 00:00:00,49
2021-12-01 00:00:00,50
2022-01-01 00:00:00,34
2022-02-01 00:00:00,55
2022-03-01 00:00:00,50
2022-04-01 00:00:00,52
2022-06-01 00:00:00,34
2022-07-01 00:00:00,53
2022-08-01 00:00:00,66
2022-09-01 00:00:00,77
2022-10-01 00:00:00,48
2022-11-01 00:00:00,34
2022-12-01 00:00:00,25
